Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,Atlanta Braves,NL East,60,35,25,0,0.583,0.586,1st of 5,--,Lost NLCS (4-3),348,288,,28.2,28.5,48,29,F.Freeman (3.2),B.Snitker (35-25)
2019,Atlanta Braves,NL East,162,97,65,0,0.599,0.564,1st of 5,--,Lost NLDS (3-2),855,743,"2,654,920",28,27.5,50,32,M.Soroka (5.9),B.Snitker (97-65)
2018,Atlanta Braves,NL East,162,90,72,0,0.556,0.566,1st of 5,--,Lost NLDS (3-1),759,657,"2,555,781",27.4,27.7,58,35,F.Freeman (5.5),B.Snitker (90-72)
2017,Atlanta Braves,NL East,162,72,90,0,0.444,0.448,3rd of 5,25,,732,821,"2,505,252",28.6,29.4,49,26,F.Freeman (4.7),B.Snitker (72-90)
2016,Atlanta Braves,NL East,161,68,93,0,0.422,0.417,5th of 5,26.5,,649,779,"2,020,914",28.9,26.4,60,35,F.Freeman (6.3),F.Gonzalez (9-28) and B.Snitker (59-65)
2015,Atlanta Braves,NL East,162,67,95,0,0.414,0.374,4th of 5,23,,573,760,"2,001,392",28.8,26.6,60,37,A.Simmons (4.5),F.Gonzalez (67-95)
2014,Atlanta Braves,NL East,162,79,83,0,0.488,0.481,2nd of 5,17,,573,597,"2,354,305",26.8,27.3,39,20,J.Heyward (5.5),F.Gonzalez (79-83)
2013,Atlanta Braves,NL East,162,96,66,0,0.593,0.603,1st of 5,--,Lost NLDS (3-1),688,548,"2,548,679",26.8,27.2,44,21,A.Simmons (5.8),F.Gonzalez (96-66)
2012,Atlanta Braves,NL East,162,94,68,0,0.58,0.57,2nd of 5,4,Lost NLWC (1-0),700,600,"2,420,171",28.5,27.6,41,21,M.Bourn (6.0),F.Gonzalez (94-68)
2011,Atlanta Braves,NL East,162,89,73,0,0.549,0.526,2nd of 5,13,,641,605,"2,372,940",28.9,28.4,45,21,E.O'Flaherty (3.3),F.Gonzalez (89-73)
2010,Atlanta Braves,NL East,162,91,71,0,0.562,0.573,2nd of 5,6,Lost NLDS (3-1),738,629,"2,510,119",28.6,30.1,43,21,J.Heyward (6.4),B.Cox (91-71)
2009,Atlanta Braves,NL East,162,86,76,0,0.531,0.562,3rd of 5,7,,735,641,"2,373,631",28.8,28.9,45,21,J.Jurrjens (6.7),B.Cox (86-76)
2008,Atlanta Braves,NL East,162,72,90,0,0.444,0.485,4th of 5,20,,753,778,"2,532,834",27.2,28.6,49,28,C.Jones (7.3),B.Cox (72-90)
2007,Atlanta Braves,NL East,162,84,78,0,0.519,0.546,3rd of 5,5,,810,733,"2,745,207",27.7,29.4,50,28,C.Jones (7.6),B.Cox (84-78)
2006,Atlanta Braves,NL East,162,79,83,0,0.488,0.524,3rd of 5,18,,849,805,"2,550,524",27.5,29.4,45,26,J.Smoltz (5.8),B.Cox (79-83)
2005,Atlanta Braves,NL East,162,90,72,0,0.556,0.56,1st of 5,--,Lost NLDS (3-1),769,674,"2,521,167",28.1,28.6,45,26,A.Jones (6.7),B.Cox (90-72)
2004,Atlanta Braves,NL East,162,96,66,0,0.593,0.583,1st of 5,--,Lost NLDS (3-2),803,668,"2,327,565",28.9,30.1,39,21,J.Drew (8.3),B.Cox (96-66)
2003,Atlanta Braves,NL East,162,101,61,0,0.623,0.592,1st of 5,--,Lost NLDS (3-2),907,740,"2,401,084",30.3,31.1,34,17,M.Giles (7.9),B.Cox (101-61)
2002,Atlanta Braves,NL East,161,101,59,1,0.631,0.602,1st of 5,--,Lost NLDS (3-2),708,565,"2,603,484",30.6,31.1,38,20,A.Jones (6.5),B.Cox (101-59)
2001,Atlanta Braves,NL East,162,88,74,0,0.543,0.557,1st of 5,--,Lost NLCS (4-1),729,643,"2,823,530",30.3,31.1,47,23,C.Jones (5.9),B.Cox (88-74)
2000,Atlanta Braves,NL East,162,95,67,0,0.586,0.557,1st of 5,--,Lost NLDS (3-0),810,714,"3,234,304",30.8,31.4,47,22,A.Jones (8.2),B.Cox (95-67)
1999,Atlanta Braves,NL East,162,103,59,0,0.636,0.608,1st of 5,--,Lost WS (4-0),840,661,"3,284,897",29.6,28.6,44,22,A.Jones (7.1),B.Cox (103-59)
1998,Atlanta Braves,NL East,162,106,56,0,0.654,0.656,1st of 5,--,Lost NLCS (4-2),826,581,"3,360,860",28.9,29.5,42,19,A.Jones (7.4),B.Cox (106-56)
1997,Atlanta Braves,NL East,162,101,61,0,0.623,0.638,1st of 5,--,Lost NLCS (4-2),791,581,"3,464,488",27.9,28.5,38,17,G.Maddux (7.7),B.Cox (101-61)
1996,Atlanta Braves,NL East,162,96,66,0,0.593,0.58,1st of 5,--,Lost WS (4-2),773,648,"2,901,242",27.9,27.9,42,18,J.Smoltz (7.7),B.Cox (96-66)
1995,Atlanta Braves,NL East,144,90,54,0,0.625,0.581,1st of 5,--,Won WS (4-2),645,540,"2,561,831",27.9,27.4,40,20,G.Maddux (9.6),B.Cox (90-54)
1994,Atlanta Braves,NL East,114,68,46,0,0.596,0.586,2nd of 5,6,,542,448,"2,539,240",28.2,27.4,31,13,G.Maddux (8.7),B.Cox (68-46)
