"Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers"
"2020,Arizona Diamondbacks,NL West,60,25,35,0,.417,.458,5th of 5,18.0,,269,295,,29.1,27.7,45,26,Z.Gallen (2.7),T.Lovullo (25-35)"
"2019,Arizona Diamondbacks,NL West,162,85,77,0,.525,.541,2nd of 5,21.0,,813,743,2135510,28.7,28.6,45,27,K.Marte (6.9),T.Lovullo (85-77)"
"2018,Arizona Diamondbacks,NL West,162,82,80,0,.506,.533,3rd of 5,9.5,,693,644,2242695,29.2,29.6,49,30,P.Goldschmidt (5.5),T.Lovullo (82-80)"
"2017,Arizona Diamondbacks,NL West,162,93,69,0,.574,.594,2nd of 5,11.0,Lost NLDS (3-0),812,659,2134375,28.3,28.7,45,23,P.Goldschmidt (6.3),T.Lovullo (93-69)"
"2016,Arizona Diamondbacks,NL West,162,69,93,0,.426,.424,4th of 5,22.0,,752,890,2036216,26.7,26.4,50,29,J.Segura (6.4),C.Hale (69-93)"
"2015,Arizona Diamondbacks,NL West,162,79,83,0,.488,.504,3rd of 5,13.0,,720,713,2080145,26.6,27.1,50,27,P.Goldschmidt (8.3),C.Hale (79-83)"
"2014,Arizona Diamondbacks,NL West,162,64,98,0,.395,.415,5th of 5,30.0,,615,742,2073730,27.6,28.0,52,25,P.Goldschmidt (4.7),K.Gibson (63-96) and A.Trammell (1-2)"
"2013,Arizona Diamondbacks,NL West,162,81,81,0,.500,.493,2nd of 5,11.0,,685,695,2134895,28.1,27.6,44,23,P.Goldschmidt (6.3),K.Gibson (81-81)"
"2012,Arizona Diamondbacks,NL West,162,81,81,0,.500,.530,3rd of 5,13.0,,734,688,2177617,28.3,27.4,48,23,A.Hill (5.1),K.Gibson (81-81)"
"2011,Arizona Diamondbacks,NL West,162,94,68,0,.580,.545,1st of 5,--,Lost NLDS (3-2),731,662,2105432,28.2,27.4,51,25,J.Upton (5.5),K.Gibson (94-68)"
"2010,Arizona Diamondbacks,NL West,162,65,97,0,.401,.428,5th of 5,27.0,,713,836,2056697,26.8,27.9,48,28,C.Young (5.4),A.Hinch (31-48) and K.Gibson (34-49)"
"2009,Arizona Diamondbacks,NL West,162,70,92,0,.432,.462,5th of 5,25.0,,720,782,2128765,26.5,27.7,45,24,D.Haren (7.0),B.Melvin (12-17) and A.Hinch (58-75)"
"2008,Arizona Diamondbacks,NL West,162,82,80,0,.506,.509,2nd of 5,2.0,,720,706,2509924,26.7,29.4,41,20,D.Haren (6.5),B.Melvin (82-80)"
"2007,Arizona Diamondbacks,NL West,162,90,72,0,.556,.487,1st of 5,--,Lost NLCS (4-0),712,732,2325249,26.6,28.2,47,26,B.Webb (5.9),B.Melvin (90-72)"
"2006,Arizona Diamondbacks,NL West,162,76,86,0,.469,.491,4th of 5,12.0,,773,788,2091685,29.7,28.8,45,25,B.Webb (6.9),B.Melvin (76-86)"
"2005,Arizona Diamondbacks,NL West,162,77,85,0,.475,.406,2nd of 5,5.0,,696,856,2059424,30.3,27.4,43,25,C.Counsell (5.5),B.Melvin (77-85)"
"2004,Arizona Diamondbacks,NL West,162,51,111,0,.315,.333,5th of 5,42.0,,615,899,2519560,28.9,29.3,52,25,R.Johnson (8.2),B.Brenly (29-50) and A.Pedrique (22-61)"
"2003,Arizona Diamondbacks,NL West,162,84,78,0,.519,.521,3rd of 5,16.5,,717,685,2805542,30.6,29.2,43,22,B.Webb (5.9),B.Brenly (84-78)"
"2002,Arizona Diamondbacks,NL West,162,98,64,0,.605,.588,1st of 5,--,Lost NLDS (3-0),819,674,3198977,31.7,31.7,42,20,R.Johnson (10.5),B.Brenly (98-64)"
"2001,Arizona Diamondbacks,NL West,162,92,70,0,.568,.586,1st of 5,--,Won WS (4-3),818,677,2736451,31.9,30.9,47,22,R.Johnson (9.5),B.Brenly (92-70)"
"2000,Arizona Diamondbacks,NL West,162,85,77,0,.525,.522,3rd of 5,12.0,,792,754,2942251,30.8,31.6,41,17,R.Johnson (8.1),B.Showalter (85-77)"
"1999,Arizona Diamondbacks,NL West,162,100,62,0,.617,.632,1st of 5,--,Lost NLDS (3-1),908,676,3019654,30.0,30.6,43,20,R.Johnson (8.6),B.Showalter (100-62)"
"1998,Arizona Diamondbacks,NL West,162,65,97,0,.401,.410,5th of 5,33.0,,665,812,3610290,27.8,27.4,46,25,O.Daal (4.1),B.Showalter (65-97)"
