Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,Baltimore Orioles,AL East,60,25,35,0,0.417,0.468,4th of 5,15,,274,294,,26.3,28.3,45,27,A.Santander (1.7),B.Hyde (25-35)
2019,Baltimore Orioles,AL East,162,54,108,0,0.333,0.367,5th of 5,49,,729,981,"1,307,807",26.5,27.3,58,39,J.Means (4.9),B.Hyde (54-108)
2018,Baltimore Orioles,AL East,162,47,115,0,0.29,0.341,5th of 5,61,,622,892,"1,564,192",28.4,27.1,56,30,M.Machado (3.6),B.Showalter (47-115)
2017,Baltimore Orioles,AL East,162,75,87,0,0.463,0.444,5th of 5,18,,743,841,"2,028,424",28.6,28.2,50,26,J.Schoop (6.5),B.Showalter (75-87)
2016,Baltimore Orioles,AL East,162,89,73,0,0.549,0.518,2nd of 5,4,Lost ALWC (1-0),744,715,"2,172,344",28.5,27.9,47,27,M.Machado (7.3),B.Showalter (89-73)
2015,Baltimore Orioles,AL East,162,81,81,0,0.5,0.513,3rd of 5,12,,713,693,"2,281,202",27.9,28.3,48,22,M.Machado (7.5),B.Showalter (81-81)
2014,Baltimore Orioles,AL East,162,96,66,0,0.593,0.578,1st of 5,--,Lost ALCS (4-0),705,593,"2,464,473",28.3,27.7,44,20,S.Pearce (5.8),B.Showalter (96-66)
2013,Baltimore Orioles,AL East,162,85,77,0,0.525,0.523,3rd of 5,12,,745,709,"2,357,561",27.8,27.9,52,26,C.Davis (7.1),B.Showalter (85-77)
2012,Baltimore Orioles,AL East,162,93,69,0,0.574,0.505,2nd of 5,2,Lost ALDS (3-2),712,705,"2,102,240",28,27.6,52,26,M.Wieters (4.1),B.Showalter (93-69)
2011,Baltimore Orioles,AL East,162,69,93,0,0.426,0.412,5th of 5,28,,708,860,"1,755,461",28.3,28.2,50,27,M.Wieters (5.2),B.Showalter (69-93)
2010,Baltimore Orioles,AL East,162,66,96,0,0.407,0.389,5th of 5,30,,613,785,"1,733,019",28.6,28.4,45,23,J.Guthrie (4.5),"D.Trembley (15-39), J.Samuel (17-34) and B.Showalter (34-23)"
2009,Baltimore Orioles,AL East,162,64,98,0,0.395,0.424,5th of 5,39,,741,876,"1,907,163",28.7,28.1,48,27,B.Bergesen (3.3),D.Trembley (64-98)
2008,Baltimore Orioles,AL East,161,68,93,0,0.422,0.452,5th of 5,28.5,,782,869,"1,950,075",30.1,27.9,46,26,N.Markakis (7.4),D.Trembley (68-93)
2007,Baltimore Orioles,AL East,162,69,93,0,0.426,0.437,4th of 5,27,,756,868,"2,164,822",30.4,29,49,27,E.Bedard (5.8),S.Perlozzo (29-40) and D.Trembley (40-53)
2006,Baltimore Orioles,AL East,162,70,92,0,0.432,0.428,4th of 5,27,,768,899,"2,153,139",30.4,27.9,46,24,M.Tejada (4.5),S.Perlozzo (70-92)
2005,Baltimore Orioles,AL East,162,74,88,0,0.457,0.458,4th of 5,21,,729,800,"2,624,740",31.5,28.3,46,20,B.Roberts (7.3),L.Mazzilli (51-56) and S.Perlozzo (23-32)
2004,Baltimore Orioles,AL East,162,78,84,0,0.481,0.507,3rd of 5,23,,842,830,"2,744,018",30.5,27.4,47,22,M.Tejada (7.4),L.Mazzilli (78-84)
2003,Baltimore Orioles,AL East,163,71,91,1,0.438,0.455,4th of 5,30,,743,820,"2,454,523",29.3,29.2,42,20,M.Mora (4.7),M.Hargrove (71-91)
2002,Baltimore Orioles,AL East,162,67,95,0,0.414,0.433,4th of 5,36.5,,667,773,"2,682,439",29.2,27.8,46,20,M.Mora (4.7),M.Hargrove (67-95)
2001,Baltimore Orioles,AL East,162,63,98,1,0.391,0.415,4th of 5,32.5,,687,829,"3,094,841",30.2,27.6,46,22,J.Conine (2.9),M.Hargrove (63-98)
2000,Baltimore Orioles,AL East,162,74,88,0,0.457,0.436,4th of 5,13.5,,794,913,"3,297,031",32.2,29.1,50,22,M.Mussina (5.6),M.Hargrove (74-88)
1999,Baltimore Orioles,AL East,162,78,84,0,0.481,0.52,4th of 5,20,,851,815,"3,433,150",32.5,30.1,43,21,B.Anderson (5.9),R.Miller (78-84)
1998,Baltimore Orioles,AL East,162,79,83,0,0.488,0.518,4th of 5,35,,817,785,"3,684,650",33.2,30.5,48,22,R.Palmeiro (6.3),R.Miller (79-83)
1997,Baltimore Orioles,AL East,162,98,64,0,0.605,0.58,1st of 5,--,Lost ALCS (4-2),812,681,"3,711,132",31.7,30.7,39,17,M.Mussina (5.5),D.Johnson (98-64)
1996,Baltimore Orioles,AL East,163,88,74,1,0.543,0.523,2nd of 5,4,Lost ALCS (4-1),949,903,"3,646,950",31.2,28.9,45,23,B.Anderson (6.9),D.Johnson (88-74)
1995,Baltimore Orioles,AL East,144,71,73,0,0.493,0.543,3rd of 5,15,,704,640,"3,098,475",30,29.3,46,23,M.Mussina (6.1),P.Regan (71-73)
1994,Baltimore Orioles,AL East,112,63,49,0,0.563,0.577,2nd of 5,6.5,,589,497,"2,535,359",30.2,29.1,32,15,M.Mussina (5.4),J.Oates (63-49)
1993,Baltimore Orioles,AL East,162,85,77,0,0.525,0.524,3rd of 7,10,,786,745,"3,644,965",29.4,28.4,41,18,C.Hoiles (6.8),J.Oates (85-77)
1992,Baltimore Orioles,AL East,162,89,73,0,0.549,0.533,3rd of 7,7,,705,656,"3,567,819",28.4,27.9,38,16,M.Mussina (8.2),J.Oates (89-73)
1991,Baltimore Orioles,AL East,162,67,95,0,0.414,0.432,6th of 7,24,,686,796,"2,552,753",28.2,27.4,42,20,C.Ripken (11.5),F.Robinson (13-24) and J.Oates (54-71)
1990,Baltimore Orioles,AL East,161,76,85,0,0.472,0.481,5th of 7,11.5,,669,698,"2,415,189",27.4,26.2,47,21,C.Ripken (7.5),F.Robinson (76-85)
1989,Baltimore Orioles,AL East,162,87,75,0,0.537,0.514,2nd of 7,2,,708,686,"2,535,208",27.1,26.9,40,17,C.Ripken (6.7),F.Robinson (87-75)
1988,Baltimore Orioles,AL East,161,54,107,0,0.335,0.341,7th of 7,34.5,,550,789,"1,660,738",27.7,27.3,43,21,C.Ripken (5.7),C.Ripken (0-6) and F.Robinson (54-101)
