Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,Chicago Cubs,NL Central,60,34,26,0,0.567,0.545,1st of 5,--,Lost NLWC (2-0),265,240,,27.9,30.3,47,26,Y.Darvish (2.4),D.Ross (34-26)
2019,Chicago Cubs,NL Central,162,84,78,0,0.519,0.558,3rd of 5,7,,814,717,"3,094,865",27.7,31.1,52,33,J.Baez (6.7),J.Maddon (84-78)
2018,Chicago Cubs,NL Central,163,95,68,0,0.583,0.575,2nd of 5,1,Lost NLWC (1-0),761,645,"3,181,089",27.2,30.2,50,35,J.Baez (6.4),J.Maddon (95-68)
2017,Chicago Cubs,NL Central,162,92,70,0,0.568,0.576,1st of 5,--,Lost NLCS (4-1),822,695,"3,199,562",27.1,30.8,47,28,K.Bryant (5.7),J.Maddon (92-70)
2016,Chicago Cubs,NL Central,162,103,58,1,0.64,0.665,1st of 5,--,Won WS (4-3),808,556,"3,232,420",27.4,29.9,45,26,K.Bryant (7.3),J.Maddon (103-58)
2015,Chicago Cubs,NL Central,162,97,65,0,0.599,0.557,3rd of 5,3,Lost NLCS (4-0),689,608,"2,919,122",26.9,29.3,50,29,J.Arrieta (8.6),J.Maddon (97-65)
2014,Chicago Cubs,NL Central,162,73,89,0,0.451,0.436,5th of 5,17,,614,707,"2,652,113",26.8,28,48,27,J.Arrieta (5.6),R.Renteria (73-89)
2013,Chicago Cubs,NL Central,162,66,96,0,0.407,0.439,5th of 5,31,,602,689,"2,642,682",27.9,28.7,56,31,T.Wood (5.1),D.Sveum (66-96)
2012,Chicago Cubs,NL Central,162,61,101,0,0.377,0.403,5th of 6,36,,613,759,"2,882,756",27.8,27.9,53,30,D.Barney (4.6),D.Sveum (61-101)
2011,Chicago Cubs,NL Central,162,71,91,0,0.438,0.434,5th of 6,25,,654,756,"3,017,966",29.3,29.4,42,22,S.Castro (3.2),M.Quade (71-91)
2010,Chicago Cubs,NL Central,162,75,87,0,0.463,0.448,5th of 6,16,,685,767,"3,062,973",29.4,28.2,44,23,M.Byrd (3.7),L.Piniella (51-74) and M.Quade (24-13)
2009,Chicago Cubs,NL Central,161,83,78,0,0.516,0.523,2nd of 6,7.5,,707,672,"3,168,859",29.9,28.4,45,24,D.Lee (5.4),L.Piniella (83-78)
2008,Chicago Cubs,NL Central,161,97,64,0,0.602,0.609,1st of 6,--,Lost NLDS (3-0),855,671,"3,300,200",30.1,28.9,42,23,R.Dempster (6.8),L.Piniella (97-64)
2007,Chicago Cubs,NL Central,162,85,77,0,0.525,0.539,1st of 6,--,Lost NLDS (3-0),752,690,"3,252,462",29.3,28.4,47,22,A.Ramirez (5.3),L.Piniella (85-77)
2006,Chicago Cubs,NL Central,162,66,96,0,0.407,0.431,6th of 6,17.5,,716,834,"3,123,215",28.6,28,46,23,C.Zambrano (5.7),D.Baker (66-96)
2005,Chicago Cubs,NL Central,162,79,83,0,0.488,0.493,4th of 6,21,,703,714,"3,099,992",29.7,28.2,46,22,D.Lee (7.7),D.Baker (79-83)
2004,Chicago Cubs,NL Central,162,89,73,0,0.549,0.578,3rd of 6,16,,789,665,"3,170,154",30.1,29.1,43,19,C.Zambrano (7.2),D.Baker (89-73)
2003,Chicago Cubs,NL Central,162,88,74,0,0.543,0.527,1st of 6,--,Lost NLCS (4-3),724,683,"2,962,630",31.3,28.2,42,17,M.Prior (7.9),D.Baker (88-74)
2002,Chicago Cubs,NL Central,162,67,95,0,0.414,0.467,5th of 6,30,,706,759,"2,693,096",30.2,27.6,44,22,S.Sosa (5.8),"D.Baylor (34-49), R.Lachemann (0-1) and B.Kimm (33-45)"
2001,Chicago Cubs,NL Central,162,88,74,0,0.543,0.547,3rd of 6,5,,777,701,"2,779,465",30.7,29.8,43,20,S.Sosa (10.3),D.Baylor (88-74)
2000,Chicago Cubs,NL Central,162,65,97,0,0.401,0.424,6th of 6,30,,764,904,"2,789,511",30.8,28.4,51,24,S.Sosa (5.7),D.Baylor (65-97)
1999,Chicago Cubs,NL Central,162,67,95,0,0.414,0.406,6th of 6,30,,747,920,"2,813,854",31.2,28.8,47,25,S.Sosa (4.8),J.Riggleman (67-95)
1998,Chicago Cubs,NL Central,163,90,73,0,0.552,0.522,2nd of 6,12.5,Lost NLDS (3-0),831,792,"2,623,194",30.1,28.8,47,25,S.Sosa (6.5),J.Riggleman (90-73)
1997,Chicago Cubs,NL Central,162,68,94,0,0.42,0.455,5th of 5,16,,687,759,"2,190,308",29.4,28.2,42,21,M.Grace (4.2),J.Riggleman (68-94)
1996,Chicago Cubs,NL Central,162,76,86,0,0.469,0.501,4th of 5,12,,772,771,"2,219,110",29,28.3,41,17,S.Sosa (5.4),J.Riggleman (76-86)
1995,Chicago Cubs,NL Central,144,73,71,0,0.507,0.515,3rd of 5,12,,693,671,"1,918,265",28.3,27.8,43,21,S.Sosa (5.3),J.Riggleman (73-71)
1994,Chicago Cubs,NL Central,113,49,64,0,0.434,0.457,5th of 5,16.5,,500,549,"1,845,208",28.2,28.3,35,18,S.Sosa (3.8),T.Trebelhorn (49-64)
1993,Chicago Cubs,NL East,163,84,78,1,0.519,0.499,4th of 7,13,,738,739,"2,653,763",28,28.3,38,17,R.Wilkins (6.6),J.Lefebvre (84-78)
1992,Chicago Cubs,NL East,162,78,84,0,0.481,0.477,4th of 6,18,,593,624,"2,126,720",28.3,27.2,41,17,G.Maddux (9.4),J.Lefebvre (78-84)
1991,Chicago Cubs,NL East,160,77,83,0,0.481,0.475,4th of 6,20,,695,734,"2,314,250",29,27.5,39,19,R.Sandberg (7.0),"D.Zimmer (18-19), J.Altobelli (0-1) and J.Essian (59-63)"
1990,Chicago Cubs,NL East,162,77,85,0,0.475,0.448,4th of 6,18,,690,774,"2,243,791",28.2,26.1,39,20,R.Sandberg (7.1),D.Zimmer (77-85)
1989,Chicago Cubs,NL East,162,93,69,0,0.574,0.554,1st of 6,--,Lost NLCS (4-1),702,623,"2,491,942",27.7,27.2,36,15,R.Sandberg (6.1),D.Zimmer (93-69)
1988,Chicago Cubs,NL East,163,77,85,1,0.475,0.477,4th of 6,24,,660,694,"2,089,034",27.6,27.1,39,18,G.Maddux (5.6),D.Zimmer (77-85)
1987,Chicago Cubs,NL East,161,76,85,0,0.472,0.451,6th of 6,18.5,,720,801,"2,035,130",28.9,27.6,36,15,R.Sutcliffe (6.5),G.Michael (68-68) and F.Lucchesi (8-17)
1986,Chicago Cubs,NL East,160,70,90,0,0.438,0.437,5th of 6,37,,680,781,"1,859,102",29.8,28.5,39,18,J.Davis (4.0),"J.Frey (23-33), J.Vukovich (1-1) and G.Michael (46-56)"
1985,Chicago Cubs,NL East,162,77,84,1,0.478,0.472,4th of 6,23.5,,686,729,"2,161,534",30.2,28.4,40,20,R.Sandberg (5.8),J.Frey (77-84)
