Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,Chicago White Sox,AL Central,60,35,25,0,0.583,0.599,2nd of 5,1,Lost ALWC (2-1),306,246,,27.7,27.6,48,28,J.Abreu (3.0),R.Renteria (35-25)
2019,Chicago White Sox,AL Central,161,72,89,0,0.447,0.427,3rd of 5,28.5,,708,832,"1,649,775",27.6,27.6,47,27,L.Giolito (5.9),R.Renteria (72-89)
2018,Chicago White Sox,AL Central,162,62,100,0,0.383,0.385,4th of 5,29,,656,848,"1,608,817",26.5,27.6,51,31,T.Anderson (3.7),R.Renteria (62-100)
2017,Chicago White Sox,AL Central,162,67,95,0,0.414,0.432,4th of 5,35,,706,820,"1,629,470",26.7,28.7,51,31,J.Abreu (4.9),R.Renteria (67-95)
2016,Chicago White Sox,AL Central,162,78,84,0,0.481,0.481,4th of 5,16.5,,686,715,"1,746,293",28.3,28.6,50,28,A.Eaton (6.6),R.Ventura (78-84)
2015,Chicago White Sox,AL Central,162,76,86,0,0.469,0.446,4th of 5,19,,622,701,"1,755,810",28.2,27.8,40,24,A.Eaton (4.1),R.Ventura (76-86)
2014,Chicago White Sox,AL Central,162,73,89,0,0.451,0.437,4th of 5,17,,660,758,"1,650,821",27.7,27.4,44,26,C.Sale (6.1),R.Ventura (73-89)
2013,Chicago White Sox,AL Central,162,63,99,0,0.389,0.414,5th of 5,30,,598,723,"1,768,413",29.2,27.1,47,24,C.Sale (6.5),R.Ventura (63-99)
2012,Chicago White Sox,AL Central,162,85,77,0,0.525,0.546,2nd of 5,3,,748,676,"1,965,955",30,27.5,45,25,C.Sale (5.6),R.Ventura (85-77)
2011,Chicago White Sox,AL Central,162,79,83,0,0.488,0.465,3rd of 5,16,,654,706,"2,001,117",30,28.5,42,22,M.Buehrle (3.8),O.Guillen (78-82) and D.Cooper (1-1)
2010,Chicago White Sox,AL Central,162,88,74,0,0.543,0.53,2nd of 5,6,,752,704,"2,194,378",30.7,29,40,20,A.Ramírez (5.6),O.Guillen (88-74)
2009,Chicago White Sox,AL Central,162,79,83,0,0.488,0.495,3rd of 5,7.5,,724,732,"2,284,163",29.8,29.5,45,24,M.Buehrle (5.5),O.Guillen (79-83)
2008,Chicago White Sox,AL Central,163,89,74,0,0.546,0.549,1st of 5,--,Lost ALDS (3-1),811,729,"2,500,648",30.6,28.3,39,19,J.Danks (6.4),O.Guillen (89-74)
2007,Chicago White Sox,AL Central,162,72,90,0,0.444,0.413,4th of 5,24,,693,839,"2,684,395",29.8,27.7,43,21,J.Vazquez (6.1),O.Guillen (72-90)
2006,Chicago White Sox,AL Central,162,90,72,0,0.556,0.541,3rd of 5,6,,868,794,"2,957,414",29.8,27.9,37,18,J.Thome (4.9),O.Guillen (90-72)
2005,Chicago White Sox,AL Central,162,99,63,0,0.611,0.563,1st of 5,--,Won WS (4-0),741,645,"2,342,833",29.3,29.3,38,17,M.Buehrle (4.8),O.Guillen (99-63)
2004,Chicago White Sox,AL Central,162,83,79,0,0.512,0.518,2nd of 5,9,,865,831,"1,930,537",28.6,28.2,42,22,A.Rowand (5.7),O.Guillen (83-79)
2003,Chicago White Sox,AL Central,162,86,76,0,0.531,0.546,2nd of 5,4,,791,715,"1,939,524",29.4,27.9,40,20,E.Loaiza (7.2),J.Manuel (86-76)
2002,Chicago White Sox,AL Central,162,81,81,0,0.5,0.532,2nd of 5,13.5,,856,798,"1,676,911",28.9,25.8,35,16,M.Ordonez (5.2),J.Manuel (81-81)
2001,Chicago White Sox,AL Central,162,83,79,0,0.512,0.502,3rd of 5,8,,798,795,"1,766,172",28.5,26.2,42,21,M.Buehrle (6.0),J.Manuel (83-79)
2000,Chicago White Sox,AL Central,162,95,67,0,0.586,0.57,1st of 5,--,Lost ALDS (3-0),978,839,"1,947,799",27.6,26.5,42,22,F.Thomas (6.0),J.Manuel (95-67)
1999,Chicago White Sox,AL Central,162,75,86,1,0.466,0.448,2nd of 5,21.5,,777,870,"1,338,851",25.8,26.4,40,21,M.Ordonez (5.8),J.Manuel (75-86)
1998,Chicago White Sox,AL Central,163,80,82,1,0.494,0.464,2nd of 5,9,,861,931,"1,391,146",27.4,26.4,39,20,A.Belle (7.1),J.Manuel (80-82)
1997,Chicago White Sox,AL Central,161,80,81,0,0.497,0.469,2nd of 5,6,,779,833,"1,864,782",29.3,29.4,45,22,F.Thomas (7.3),T.Bevington (80-81)
1996,Chicago White Sox,AL Central,162,85,77,0,0.525,0.556,2nd of 5,14.5,,898,794,"1,676,403",30.6,27.8,44,22,A.Fernandez (6.4),T.Bevington (85-77)
1995,Chicago White Sox,AL Central,145,68,76,1,0.472,0.498,3rd of 5,32,,755,758,"1,609,773",29.5,27.6,46,26,F.Thomas (5.3),G.Lamont (11-20) and T.Bevington (57-56)
1994,Chicago White Sox,AL Central,113,67,46,0,0.593,0.608,1st of 5,--,,633,498,"1,697,398",29.9,28.2,34,14,F.Thomas (6.4),G.Lamont (67-46)
1993,Chicago White Sox,AL West,162,94,68,0,0.58,0.571,1st of 7,--,Lost ALCS (4-2),776,664,"2,581,091",28.9,26.6,43,20,F.Thomas (6.2),G.Lamont (94-68)
1992,Chicago White Sox,AL West,162,86,76,0,0.531,0.531,3rd of 7,10,,738,690,"2,681,156",28.7,28.9,35,13,F.Thomas (7.0),G.Lamont (86-76)
