Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,Cincinnati Reds,NL Central,60,31,29,0,0.517,0.5,3rd of 5,3,Lost NLWC (2-0),243,243,,29.2,28.6,43,23,T.Bauer (2.9),D.Bell (31-29)
2019,Cincinnati Reds,NL Central,162,75,87,0,0.463,0.494,4th of 5,16,,701,711,"1,809,075",27.9,28.2,47,26,S.Gray (6.0),D.Bell (75-87)
2018,Cincinnati Reds,NL Central,162,67,95,0,0.414,0.426,5th of 5,28.5,,696,819,"1,629,356",27.2,27.1,53,32,E.Suarez (4.0),B.Price (3-15) and J.Riggleman (64-80)
2017,Cincinnati Reds,NL Central,162,68,94,0,0.42,0.435,5th of 5,24,,753,869,"1,836,917",27.2,27.6,47,31,J.Votto (8.1),B.Price (68-94)
2016,Cincinnati Reds,NL Central,162,68,94,0,0.42,0.42,5th of 5,35.5,,716,854,"1,894,085",27.8,27.1,52,32,J.Votto (4.2),B.Price (68-94)
2015,Cincinnati Reds,NL Central,162,64,98,0,0.395,0.426,5th of 5,36,,640,754,"2,419,506",29.5,27.3,50,28,J.Votto (7.8),B.Price (64-98)
2014,Cincinnati Reds,NL Central,162,76,86,0,0.469,0.487,4th of 5,14,,595,612,"2,476,664",29,28,45,25,J.Cueto (6.6),B.Price (76-86)
2013,Cincinnati Reds,NL Central,162,90,72,0,0.556,0.577,3rd of 5,7,Lost NLWC (1-0),698,589,"2,492,101",28.5,27.7,39,20,J.Votto (6.6),D.Baker (90-72)
2012,Cincinnati Reds,NL Central,162,97,65,0,0.599,0.559,1st of 6,--,Lost NLDS (3-2),669,588,"2,347,251",28.8,27.1,38,17,J.Votto (5.9),D.Baker (97-65)
2011,Cincinnati Reds,NL Central,162,79,83,0,0.488,0.509,3rd of 6,17,,735,720,"2,213,588",28.6,27.7,42,21,J.Votto (6.6),D.Baker (79-83)
2010,Cincinnati Reds,NL Central,162,91,71,0,0.562,0.565,1st of 6,--,Lost NLDS (3-0),790,685,"2,060,550",29,28.2,44,23,J.Votto (7.0),D.Baker (91-71)
2009,Cincinnati Reds,NL Central,162,78,84,0,0.481,0.467,4th of 6,13,,673,723,"1,747,919",27.8,29,46,22,J.Votto (4.8),D.Baker (78-84)
2008,Cincinnati Reds,NL Central,162,74,88,0,0.457,0.442,5th of 6,23.5,,704,800,"2,058,632",28.6,28.7,48,24,E.Volquez (4.5),D.Baker (74-88)
2007,Cincinnati Reds,NL Central,162,72,90,0,0.444,0.461,5th of 6,13,,783,853,"2,058,593",29.7,29.1,51,25,A.Harang (5.5),J.Narron (31-51) and P.Mackanin (41-39)
2006,Cincinnati Reds,NL Central,162,80,82,0,0.494,0.469,3rd of 6,3.5,,749,801,"2,134,607",29.6,29.5,54,29,B.Arroyo (7.0),J.Narron (80-82)
2005,Cincinnati Reds,NL Central,163,73,89,1,0.451,0.463,5th of 6,27,,820,889,"1,943,067",28.6,28.9,46,22,F.Lopez (4.3),D.Miley (27-43) and J.Narron (46-46)
2004,Cincinnati Reds,NL Central,162,76,86,0,0.469,0.414,4th of 6,29,,750,907,"2,287,250",28.4,28.5,44,22,A.Dunn (4.7),D.Miley (76-86)
2003,Cincinnati Reds,NL Central,162,69,93,0,0.426,0.39,5th of 6,19,,694,886,"2,355,259",27.3,28,57,30,J.Guillen (4.7),"B.Boone (46-58), R.Knight (1-0) and D.Miley (22-35)"
2002,Cincinnati Reds,NL Central,162,78,84,0,0.481,0.46,3rd of 6,19,,709,774,"1,855,787",27.7,28.7,43,21,E.Dessens (4.2),B.Boone (78-84)
2001,Cincinnati Reds,NL Central,162,66,96,0,0.407,0.434,5th of 6,27,,735,850,"1,879,757",28,27.4,50,25,E.Dessens (4.5),B.Boone (66-96)
2000,Cincinnati Reds,NL Central,163,85,77,1,0.525,0.534,2nd of 6,10,,825,765,"2,577,371",29.2,28.5,45,21,K.Griffey (5.5),J.McKeon (85-77)
1999,Cincinnati Reds,NL Central,163,96,67,0,0.589,0.589,2nd of 6,1.5,,865,711,"2,061,222",28.3,28,35,17,M.Cameron (5.5),J.McKeon (96-67)
1998,Cincinnati Reds,NL Central,162,77,85,0,0.475,0.494,4th of 6,25,,750,760,"1,793,649",27.5,28,47,24,B.Larkin (5.7),J.McKeon (77-85)
