Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,Cleveland Indians,AL Central,60,35,25,0,0.583,0.578,3rd of 5,1,Lost ALWC (2-0),248,209,,28,27.6,39,18,S.Bieber (3.2),T.Francona (35-25)
2019,Cleveland Indians,AL Central,162,93,69,0,0.574,0.572,2nd of 5,8,,769,657,"1,738,642",27.8,28.3,54,30,F.Lindor (4.8),T.Francona (93-69)
2018,Cleveland Indians,AL Central,162,91,71,0,0.562,0.605,1st of 5,--,Lost ALDS (3-0),818,648,"1,926,701",29.4,29.4,49,27,J.Ramirez (7.5),T.Francona (91-71)
2017,Cleveland Indians,AL Central,162,102,60,0,0.63,0.664,1st of 5,--,Lost ALDS (3-2),818,564,"2,048,138",28.1,28.9,41,20,C.Kluber (7.9),T.Francona (102-60)
2016,Cleveland Indians,AL Central,161,94,67,0,0.584,0.563,1st of 5,--,Lost WS (4-3),777,676,"1,591,667",29,28.1,48,27,C.Kluber (5.7),T.Francona (94-67)
2015,Cleveland Indians,AL Central,161,81,80,0,0.503,0.52,3rd of 5,13.5,,669,640,"1,388,905",28,27.3,49,27,C.Carrasco (4.2),T.Francona (81-80)
2014,Cleveland Indians,AL Central,162,85,77,0,0.525,0.511,3rd of 5,5,,669,653,"1,437,393",28.6,27.2,46,23,C.Kluber (8.1),T.Francona (85-77)
2013,Cleveland Indians,AL Central,162,92,70,0,0.568,0.554,2nd of 5,1,Lost ALWC (1-0),745,662,"1,572,926",28.7,27.5,49,28,J.Kipnis (5.0),T.Francona (92-70)
2012,Cleveland Indians,AL Central,162,68,94,0,0.42,0.393,4th of 5,20,,667,845,"1,603,596",27.8,27.6,48,24,J.Kipnis (3.9),M.Acta (65-91) and S.Alomar (3-3)
2011,Cleveland Indians,AL Central,162,80,82,0,0.494,0.465,2nd of 5,15,,704,760,"1,840,835",27.8,26.7,46,22,A.Cabrera (4.7),M.Acta (80-82)
2010,Cleveland Indians,AL Central,162,69,93,0,0.426,0.431,4th of 5,25,,646,752,"1,391,644",27.2,26.6,45,22,S.Choo (5.9),M.Acta (69-93)
2009,Cleveland Indians,AL Central,162,65,97,0,0.401,0.449,4th of 5,21.5,,773,865,"1,766,242",27.4,27.8,52,29,S.Choo (5.5),E.Wedge (65-97)
2008,Cleveland Indians,AL Central,162,81,81,0,0.5,0.526,3rd of 5,7.5,,805,761,"2,169,760",27.6,28.6,49,28,C.Lee (6.7),E.Wedge (81-81)
2007,Cleveland Indians,AL Central,162,96,66,0,0.593,0.564,1st of 5,--,Lost ALCS (4-3),811,704,"2,275,912",28,29.4,41,21,C.Sabathia (6.4),E.Wedge (96-66)
