Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,Detroit Tigers,AL Central,58,23,35,0,0.397,0.39,5th of 5,12,,249,318,,27.6,26.6,45,23,J.Candelario (2.0),R.Gardenhire (21-29) and L.McClendon (2-6)
2019,Detroit Tigers,AL Central,161,47,114,0,0.292,0.304,5th of 5,53.5,,582,915,"1,501,430",27.6,27.8,53,32,M.Boyd (3.4),R.Gardenhire (47-114)
2018,Detroit Tigers,AL Central,162,64,98,0,0.395,0.395,3rd of 5,27,,630,796,"1,856,970",27.9,28.6,49,27,M.Fiers (3.1),R.Gardenhire (64-98)
2017,Detroit Tigers,AL Central,162,64,98,0,0.395,0.411,5th of 5,38,,735,894,"2,321,599",29.6,28.3,49,29,J.Upton (5.2),B.Ausmus (64-98)
2016,Detroit Tigers,AL Central,161,86,75,0,0.534,0.518,2nd of 5,8,,750,721,"2,493,859",30,29,44,23,J.Verlander (7.4),B.Ausmus (86-75)
2015,Detroit Tigers,AL Central,161,74,87,0,0.46,0.43,5th of 5,20.5,,689,803,"2,726,048",28.3,28.7,47,27,J.Martinez (5.4),B.Ausmus (74-87)
2014,Detroit Tigers,AL Central,162,90,72,0,0.556,0.533,1st of 5,--,Lost ALDS (3-0),757,705,"2,917,209",29.8,28.5,48,30,M.Scherzer (5.7),B.Ausmus (90-72)
2013,Detroit Tigers,AL Central,162,93,69,0,0.574,0.61,1st of 5,--,Lost ALCS (4-2),796,624,"3,083,397",30,28.4,39,20,M.Cabrera (7.5),J.Leyland (93-69)
2012,Detroit Tigers,AL Central,162,88,74,0,0.543,0.537,1st of 5,--,Lost WS (4-0),726,670,"3,028,033",27.9,28.2,47,23,J.Verlander (8.0),J.Leyland (88-74)
2011,Detroit Tigers,AL Central,162,95,67,0,0.586,0.546,1st of 5,--,Lost ALCS (4-2),787,711,"2,642,045",28.6,27.8,45,26,J.Verlander (8.6),J.Leyland (95-67)
2010,Detroit Tigers,AL Central,162,81,81,0,0.5,0.505,3rd of 5,13,,751,743,"2,461,237",29,26.5,41,20,M.Cabrera (6.5),J.Leyland (81-81)
2009,Detroit Tigers,AL Central,163,86,77,0,0.528,0.499,2nd of 5,1,,743,745,"2,567,165",29.8,26.6,45,23,J.Verlander (5.4),J.Leyland (86-77)
2008,Detroit Tigers,AL Central,162,74,88,0,0.457,0.48,5th of 5,14.5,,821,857,"3,202,645",30.3,29.9,46,25,P.Polanco (4.4),J.Leyland (74-88)
2007,Detroit Tigers,AL Central,162,88,74,0,0.543,0.549,2nd of 5,8,,887,797,"3,047,133",30.9,28.5,44,25,C.Granderson (7.6),J.Leyland (88-74)
2006,Detroit Tigers,AL Central,162,95,67,0,0.586,0.589,2nd of 5,1,Lost WS (4-1),822,675,"2,595,937",29.3,28.8,40,19,C.Guillen (6.0),J.Leyland (95-67)
2005,Detroit Tigers,AL Central,162,71,91,0,0.438,0.461,4th of 5,28,,723,787,"2,024,431",28.5,28,45,23,P.Polanco (4.3),A.Trammell (71-91)
2004,Detroit Tigers,AL Central,162,72,90,0,0.444,0.491,4th of 5,20,,827,844,"1,917,004",28.1,27.5,39,18,C.Guillen (4.6),A.Trammell (72-90)
2003,Detroit Tigers,AL Central,162,43,119,0,0.265,0.305,5th of 5,47,,591,928,"1,368,245",27.3,25.3,43,20,D.Young (3.4),A.Trammell (43-119)
2002,Detroit Tigers,AL Central,161,55,106,0,0.342,0.322,5th of 5,39,,575,864,"1,503,623",28.1,28.1,57,30,J.Weaver (2.8),P.Garner (0-6) and L.Pujols (55-100)
2001,Detroit Tigers,AL Central,162,66,96,0,0.407,0.414,4th of 5,25,,724,876,"1,921,305",28.3,28.1,44,22,S.Sparks (4.4),P.Garner (66-96)
2000,Detroit Tigers,AL Central,162,79,83,0,0.488,0.498,3rd of 5,16,,823,827,"2,438,617",29.1,29.1,45,23,B.Higginson (5.3),P.Garner (79-83)
1999,Detroit Tigers,AL Central,161,69,92,0,0.429,0.425,3rd of 5,27.5,,747,882,"2,026,441",27.5,27.6,41,21,B.Ausmus (3.4),L.Parrish (69-92)
1998,Detroit Tigers,AL Central,162,65,97,0,0.401,0.419,5th of 5,24,,722,863,"1,409,391",27.3,26.6,45,20,D.Easley (5.6),B.Bell (52-85) and L.Parrish (13-12)
1997,Detroit Tigers,AL East,162,79,83,0,0.488,0.497,3rd of 5,19,,784,790,"1,365,157",26.4,27.5,43,20,J.Thompson (7.7),B.Bell (79-83)
1996,Detroit Tigers,AL East,162,53,109,0,0.327,0.348,5th of 5,39,,783,1103,"1,168,610",27,26.7,53,27,B.Higginson (3.6),B.Bell (53-109)
1995,Detroit Tigers,AL East,144,60,84,0,0.417,0.385,4th of 5,26,,654,844,"1,180,979",28.8,27.8,45,22,D.Wells (4.6),S.Anderson (60-84)
1994,Detroit Tigers,AL East,115,53,62,0,0.461,0.487,5th of 5,18,,652,671,"1,184,783",30.8,31.2,36,18,T.Phillips (4.7),S.Anderson (53-62)
1993,Detroit Tigers,AL East,162,85,77,0,0.525,0.533,3rd of 7,10,,899,837,"1,971,421",30.8,30.1,40,22,T.Phillips (5.6),S.Anderson (85-77)
1992,Detroit Tigers,AL East,162,75,87,0,0.463,0.498,6th of 7,21,,791,794,"1,423,963",30,29.6,34,15,T.Phillips (5.1),S.Anderson (75-87)
1991,Detroit Tigers,AL East,162,84,78,0,0.519,0.513,2nd of 7,7,,817,794,"1,641,661",29.2,30.8,41,19,L.Whitaker (6.8),S.Anderson (84-78)
1990,Detroit Tigers,AL East,162,79,83,0,0.488,0.498,3rd of 7,9,,750,754,"1,495,785",30.7,30.3,43,20,A.Trammell (6.7),S.Anderson (79-83)
1989,Detroit Tigers,AL East,162,59,103,0,0.364,0.375,7th of 7,30,,617,816,"1,543,656",31,31,46,22,L.Whitaker (5.3),S.Anderson (59-103)
1988,Detroit Tigers,AL East,162,88,74,0,0.543,0.53,2nd of 7,1,,703,658,"2,081,162",32.2,31.1,37,14,A.Trammell (6.0),S.Anderson (88-74)
1987,Detroit Tigers,AL East,162,98,64,0,0.605,0.59,1st of 7,--,Lost ALCS (4-1),896,735,"2,061,830",31.2,29.5,37,14,A.Trammell (8.2),S.Anderson (98-64)
1986,Detroit Tigers,AL East,162,87,75,0,0.537,0.551,3rd of 7,8.5,,798,714,"1,899,437",30.5,28.9,40,16,A.Trammell (6.4),S.Anderson (87-75)
1985,Detroit Tigers,AL East,161,84,77,0,0.522,0.526,3rd of 7,15,,729,688,"2,286,609",29.5,29.1,36,14,K.Gibson (5.4),S.Anderson (84-77)
1984,Detroit Tigers,AL East,162,104,58,0,0.642,0.614,1st of 7,--,Won WS (4-1),829,643,"2,704,794",28.5,29.7,35,14,A.Trammell (6.7),S.Anderson (104-58)
1983,Detroit Tigers,AL East,162,92,70,0,0.568,0.568,2nd of 7,6,,789,679,"1,829,636",27.7,28.1,39,16,L.Whitaker (6.7),S.Anderson (92-70)
1982,Detroit Tigers,AL East,162,83,79,0,0.512,0.528,4th of 7,12,,729,685,"1,636,058",27.1,26.7,39,17,L.Whitaker (5.4),S.Anderson (83-79)
