Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,Houston Astros,AL West,60,29,31,0,0.483,0.507,2nd of 5,7,Lost ALCS (4-3),279,275,,29.2,27,43,26,G.Springer (2.2),D.Baker (29-31)
2019,Houston Astros,AL West,162,107,55,0,0.66,0.66,1st of 5,--,Lost WS (4-3),920,640,"2,857,367",28.9,29.9,45,26,A.Bregman (8.9),A.Hinch (107-55)
2018,Houston Astros,AL West,162,103,59,0,0.636,0.675,1st of 5,--,Lost ALCS (4-1),797,534,"2,980,549",28.1,30,41,22,A.Bregman (7.9),A.Hinch (103-59)
2017,Houston Astros,AL West,162,101,61,0,0.623,0.611,1st of 5,--,Won WS (4-3),896,700,"2,403,671",28.8,28.5,46,27,J.Altuve (7.7),A.Hinch (101-61)
2016,Houston Astros,AL West,162,84,78,0,0.519,0.515,3rd of 5,11,,724,701,"2,306,623",26.4,28.9,43,23,J.Altuve (7.9),A.Hinch (84-78)
2015,Houston Astros,AL West,162,86,76,0,0.531,0.575,2nd of 5,2,Lost ALDS (3-2),729,618,"2,153,585",26.3,29.4,46,24,D.Keuchel (6.6),A.Hinch (86-76)
2014,Houston Astros,AL West,162,70,92,0,0.432,0.437,4th of 5,28,,629,723,"1,751,829",25.4,27.9,48,28,J.Altuve (5.5),B.Porter (59-79) and T.Lawless (11-13)
2013,Houston Astros,AL West,162,51,111,0,0.315,0.354,5th of 5,45,,610,848,"1,651,883",25.9,27.2,50,26,J.Castro (4.2),B.Porter (51-111)
2012,Houston Astros,NL Central,162,55,107,0,0.34,0.362,6th of 6,42,,583,794,"1,607,733",26.6,27.2,50,26,L.Harrell (3.1),B.Mills (39-82) and T.DeFrancesco (16-25)
2011,Houston Astros,NL Central,162,56,106,0,0.346,0.384,6th of 6,40,,615,796,"2,067,016",28.2,27.2,47,23,C.Lee (3.9),B.Mills (56-106)
2010,Houston Astros,NL Central,162,76,86,0,0.469,0.42,4th of 6,15,,611,729,"2,331,490",29.5,29.6,48,25,M.Bourn (5.5),B.Mills (76-86)
2009,Houston Astros,NL Central,162,74,88,0,0.457,0.418,5th of 6,17,,643,770,"2,521,076",31.6,31.2,42,22,M.Bourn (5.0),C.Cooper (70-79) and D.Clark (4-9)
2008,Houston Astros,NL Central,161,86,75,0,0.534,0.481,3rd of 6,11,,712,743,"2,779,487",31.1,30.9,41,20,L.Berkman (6.9),C.Cooper (86-75)
2007,Houston Astros,NL Central,162,73,89,0,0.451,0.447,4th of 6,12,,723,813,"3,020,405",31.4,30.2,41,21,R.Oswalt (6.6),P.Garner (58-73) and C.Cooper (15-16)
2006,Houston Astros,NL Central,162,82,80,0,0.506,0.51,2nd of 6,1.5,,735,719,"3,022,763",30.5,29.8,39,19,L.Berkman (6.0),P.Garner (82-80)
