Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,Kansas City Royals,AL Central,60,26,34,0,0.433,0.458,4th of 5,10,,248,272,,27.8,27.1,48,27,S.Perez (2.1),M.Matheny (26-34)
2019,Kansas City Royals,AL Central,162,59,103,0,0.364,0.397,4th of 5,42,,691,869,"1,479,659",27.6,27.9,51,30,W.Merrifield (3.6),N.Yost (59-103)
2018,Kansas City Royals,AL Central,162,58,104,0,0.358,0.38,5th of 5,33,,638,833,"1,665,107",28.6,27.6,49,27,W.Merrifield (4.5),N.Yost (58-104)
2017,Kansas City Royals,AL Central,162,80,82,0,0.494,0.446,3rd of 5,22,,702,791,"2,220,370",28.9,30.3,49,29,L.Cain (5.5),N.Yost (80-82)
2016,Kansas City Royals,AL Central,162,81,81,0,0.5,0.476,3rd of 5,13.5,,675,712,"2,557,712",28.5,29.9,42,21,I.Kennedy (4.2),N.Yost (81-81)
2015,Kansas City Royals,AL Central,162,95,67,0,0.586,0.555,1st of 5,--,Won WS (4-1),724,641,"2,708,549",29.1,30,45,24,L.Cain (7.0),N.Yost (95-67)
2014,Kansas City Royals,AL Central,162,89,73,0,0.549,0.519,2nd of 5,1,Lost WS (4-3),651,624,"1,956,482",28.2,28.9,48,23,A.Gordon (6.1),N.Yost (89-73)
2013,Kansas City Royals,AL Central,162,86,76,0,0.531,0.534,3rd of 5,7,,648,601,"1,750,754",26.9,28.9,43,21,J.Shields (4.7),N.Yost (86-76)
2012,Kansas City Royals,AL Central,162,72,90,0,0.444,0.455,3rd of 5,16,,676,746,"1,739,859",26.1,27.3,46,25,A.Gordon (6.3),N.Yost (72-90)
2011,Kansas City Royals,AL Central,162,71,91,0,0.438,0.48,4th of 5,24,,730,762,"1,724,450",25.8,26.4,42,23,A.Gordon (7.3),N.Yost (71-91)
2010,Kansas City Royals,AL Central,162,67,95,0,0.414,0.399,5th of 5,27,,676,845,"1,615,327",28.9,27.5,46,25,J.Soria (3.7),T.Hillman (12-23) and N.Yost (55-72)
2009,Kansas City Royals,AL Central,162,65,97,0,0.401,0.407,4th of 5,21.5,,686,842,"1,797,891",27.6,28.7,43,23,Z.Greinke (10.4),T.Hillman (65-97)
2008,Kansas City Royals,AL Central,162,75,87,0,0.463,0.444,4th of 5,13.5,,691,781,"1,578,922",28,27.6,43,25,Z.Greinke (5.3),T.Hillman (75-87)
2007,Kansas City Royals,AL Central,162,69,93,0,0.426,0.456,5th of 5,27,,706,778,"1,616,867",28,27.1,45,23,G.Meche (4.1),B.Bell (69-93)
2006,Kansas City Royals,AL Central,162,62,100,0,0.383,0.388,5th of 5,34,,757,971,"1,372,638",29.7,27.7,55,31,M.Teahen (3.7),B.Bell (62-100)
