Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,Minnesota Twins,AL Central,60,36,24,0,0.6,0.601,1st of 5,--,Lost ALWC (2-0),269,215,,28.8,30,43,24,B.Buxton (2.1),R.Baldelli (36-24)
2019,Minnesota Twins,AL Central,162,101,61,0,0.623,0.599,1st of 5,--,Lost ALDS (3-0),939,754,"2,303,299",27.8,28.2,50,31,J.Polanco (4.7),R.Baldelli (101-61)
2018,Minnesota Twins,AL Central,162,78,84,0,0.481,0.478,2nd of 5,13,,738,775,"1,959,197",28.2,28.5,54,36,E.Rosario (4.3),P.Molitor (78-84)
2017,Minnesota Twins,AL Central,162,85,77,0,0.525,0.515,2nd of 5,17,Lost ALWC (1-0),815,788,"2,051,279",27.1,29.6,52,36,E.Santana (5.1),P.Molitor (85-77)
2016,Minnesota Twins,AL Central,162,59,103,0,0.364,0.406,5th of 5,35.5,,722,889,"1,963,912",26.9,28.3,49,29,B.Dozier (5.8),P.Molitor (59-103)
2015,Minnesota Twins,AL Central,162,83,79,0,0.512,0.497,2nd of 5,12,,696,700,"2,220,054",28.3,29.1,44,24,K.Gibson (3.2),P.Molitor (83-79)
2014,Minnesota Twins,AL Central,162,70,92,0,0.432,0.462,5th of 5,20,,715,777,"2,250,606",27.5,29.2,48,23,B.Dozier (5.5),R.Gardenhire (70-92)
2013,Minnesota Twins,AL Central,162,66,96,0,0.407,0.388,4th of 5,27,,614,788,"2,477,644",28.3,28.3,44,23,J.Mauer (5.5),R.Gardenhire (66-96)
2012,Minnesota Twins,AL Central,162,66,96,0,0.407,0.422,5th of 5,22,,701,832,"2,776,354",28.9,27.8,47,25,D.Span (4.9),R.Gardenhire (66-96)
2011,Minnesota Twins,AL Central,162,63,99,0,0.389,0.383,5th of 5,32,,619,804,"3,168,116",27.5,28.5,45,24,S.Baker (4.3),R.Gardenhire (63-99)
2010,Minnesota Twins,AL Central,162,94,68,0,0.58,0.569,1st of 5,--,Lost ALDS (3-0),781,671,"3,223,640",28.4,28.6,42,21,J.Mauer (5.9),R.Gardenhire (94-68)
2009,Minnesota Twins,AL Central,163,87,76,0,0.534,0.53,1st of 5,--,Lost ALDS (3-0),817,765,"2,416,237",27.6,27.9,42,24,J.Mauer (7.8),R.Gardenhire (87-76)
2008,Minnesota Twins,AL Central,163,88,75,0,0.54,0.549,2nd of 5,1,,829,745,"2,302,431",26.2,27.5,40,19,J.Mauer (5.6),R.Gardenhire (88-75)
2007,Minnesota Twins,AL Central,162,79,83,0,0.488,0.496,3rd of 5,17,,718,725,"2,296,383",28.4,27.4,42,19,J.Santana (5.2),R.Gardenhire (79-83)
2006,Minnesota Twins,AL Central,162,96,66,0,0.593,0.572,1st of 5,--,Lost ALDS (3-0),801,683,"2,285,018",28.3,26.9,39,17,J.Santana (7.6),R.Gardenhire (96-66)
2005,Minnesota Twins,AL Central,162,83,79,0,0.512,0.518,3rd of 5,16,,688,662,"2,034,243",27.6,27.9,37,15,J.Santana (7.2),R.Gardenhire (83-79)
