Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,New York Yankees,AL East,60,33,27,0,0.55,0.57,2nd of 5,7,Lost ALDS (3-2),315,270,,28.5,29.2,43,25,D.LeMahieu (3.0),A.Boone (33-27)
2019,New York Yankees,AL East,162,103,59,0,0.636,0.61,1st of 5,--,Lost ALCS (4-2),943,739,"3,304,404",28.3,30.2,54,33,A.Judge (5.5),A.Boone (103-59)
2018,New York Yankees,AL East,162,100,62,0,0.617,0.608,2nd of 5,8,Lost ALDS (3-1),851,669,"3,482,855",27.2,28.8,49,27,A.Judge (5.9),A.Boone (100-62)
2017,New York Yankees,AL East,162,91,71,0,0.562,0.618,2nd of 5,2,Lost ALCS (4-3),858,660,"3,154,938",28.6,27.8,51,25,A.Judge (8.0),J.Girardi (91-71)
2016,New York Yankees,AL East,162,84,78,0,0.519,0.485,4th of 5,9,,680,702,"3,063,405",30.1,27.9,53,29,M.Tanaka (5.2),J.Girardi (84-78)
2015,New York Yankees,AL East,162,87,75,0,0.537,0.541,2nd of 5,6,Lost ALWC (1-0),764,698,"3,193,795",31.4,27.4,56,33,D.Betances (3.9),J.Girardi (87-75)
2014,New York Yankees,AL East,162,84,78,0,0.519,0.478,2nd of 5,12,,633,664,"3,401,624",32.8,29.3,58,33,B.Gardner (3.8),J.Girardi (84-78)
2013,New York Yankees,AL East,162,85,77,0,0.525,0.485,3rd of 5,12,,650,671,"3,279,589",31.9,31.8,56,24,R.Cano (6.6),J.Girardi (85-77)
2012,New York Yankees,AL East,162,95,67,0,0.586,0.584,1st of 5,--,Lost ALCS (4-0),804,668,"3,542,406",32.9,30.3,45,24,R.Cano (8.4),J.Girardi (95-67)
2011,New York Yankees,AL East,162,97,65,0,0.599,0.624,1st of 5,--,Lost ALDS (3-2),867,657,"3,653,680",30.6,31,48,28,C.Sabathia (6.4),J.Girardi (97-65)
2010,New York Yankees,AL East,162,95,67,0,0.586,0.597,2nd of 5,1,Lost ALCS (4-2),859,693,"3,765,807",30.4,30.3,43,21,R.Cano (8.1),J.Girardi (95-67)
2009,New York Yankees,AL East,162,103,59,0,0.636,0.588,1st of 5,--,Won WS (4-2),915,753,"3,719,358",30.7,29.3,45,24,D.Jeter (6.6),J.Girardi (103-59)
2008,New York Yankees,AL East,162,89,73,0,0.549,0.537,3rd of 5,8,,789,727,"4,298,655",31.4,30.6,51,27,A.Rodriguez (6.8),J.Girardi (89-73)
2007,New York Yankees,AL East,162,94,68,0,0.58,0.599,2nd of 5,2,Lost ALDS (3-1),968,777,"4,271,083",30.8,31.4,49,28,A.Rodriguez (9.4),J.Torre (94-68)
2006,New York Yankees,AL East,162,97,65,0,0.599,0.587,1st of 5,--,Lost ALDS (3-1),930,767,"4,248,067",30.9,32.5,49,25,C.Wang (6.0),J.Torre (97-65)
2005,New York Yankees,AL East,162,95,67,0,0.586,0.553,1st of 5,--,Lost ALDS (3-2),886,789,"4,090,696",32.4,34.2,51,28,A.Rodriguez (9.4),J.Torre (95-67)
2004,New York Yankees,AL East,162,101,61,0,0.623,0.548,1st of 5,--,Lost ALCS (4-3),897,808,"3,775,292",32.3,32.9,43,23,A.Rodriguez (7.6),J.Torre (101-61)
2003,New York Yankees,AL East,163,101,61,1,0.623,0.592,1st of 5,--,Lost WS (4-2),877,716,"3,465,600",30.4,33.7,49,23,M.Mussina (6.5),J.Torre (101-61)
2002,New York Yankees,AL East,161,103,58,0,0.64,0.613,1st of 5,--,Lost ALDS (3-1),897,697,"3,465,807",30,33.1,38,17,J.Giambi (7.1),J.Torre (103-58)
2001,New York Yankees,AL East,161,95,65,1,0.594,0.555,1st of 5,--,Lost WS (4-3),804,713,"3,264,907",31.3,30.9,47,20,M.Mussina (7.1),J.Torre (95-65)
2000,New York Yankees,AL East,161,87,74,0,0.54,0.531,1st of 5,--,Won WS (4-1),871,814,"3,055,435",31.4,32,46,22,J.Posada (5.5),J.Torre (87-74)
1999,New York Yankees,AL East,162,98,64,0,0.605,0.594,1st of 5,--,Won WS (4-0),900,731,"3,292,736",31,31.2,39,18,D.Jeter (8.0),J.Torre (98-64)
1998,New York Yankees,AL East,162,114,48,0,0.704,0.67,1st of 5,--,Won WS (4-0),965,656,"2,955,193",30.5,30.2,38,19,D.Jeter (7.5),J.Torre (114-48)
1997,New York Yankees,AL East,162,96,66,0,0.593,0.616,2nd of 5,2,Lost ALDS (3-2),891,688,"2,580,325",30.6,29.6,41,18,A.Pettitte (8.4),J.Torre (96-66)
1996,New York Yankees,AL East,162,92,70,0,0.568,0.546,1st of 5,--,Won WS (4-2),871,787,"2,250,877",30.1,29.3,48,24,A.Pettitte (5.6),J.Torre (92-70)
1995,New York Yankees,AL East,145,79,65,1,0.549,0.539,2nd of 5,7,Lost ALDS (3-2),749,688,"1,705,263",31.1,28.1,42,20,B.Williams (6.4),B.Showalter (79-65)
1994,New York Yankees,AL East,113,70,43,0,0.619,0.602,1st of 5,--,,670,534,"1,675,556",30.5,29.8,36,17,W.Boggs (4.5),B.Showalter (70-43)
1993,New York Yankees,AL East,162,88,74,0,0.543,0.535,2nd of 7,7,,821,761,"2,416,942",29.7,28.9,41,22,J.Key (6.3),B.Showalter (88-74)
1992,New York Yankees,AL East,162,76,86,0,0.469,0.492,4th of 7,20,,733,746,"1,748,737",28.2,29.5,40,19,M.Perez (5.9),B.Showalter (76-86)
1991,New York Yankees,AL East,162,71,91,0,0.438,0.435,5th of 7,20,,674,777,"1,863,733",27.7,29.5,40,20,S.Sax (4.2),S.Merrill (71-91)
1990,New York Yankees,AL East,162,67,95,0,0.414,0.402,7th of 7,21,,603,749,"2,006,436",28.2,29.1,43,20,R.Kelly (5.5),B.Dent (18-31) and S.Merrill (49-64)
1989,New York Yankees,AL East,161,74,87,0,0.46,0.442,5th of 7,14.5,,698,792,"2,170,485",28.6,29.2,49,22,S.Sax (4.4),D.Green (56-65) and B.Dent (18-22)
1988,New York Yankees,AL East,161,85,76,0,0.528,0.514,5th of 7,3.5,,772,748,"2,633,701",30.5,32.3,41,18,R.Henderson (6.3),B.Martin (40-28) and L.Piniella (45-48)
1987,New York Yankees,AL East,162,89,73,0,0.549,0.518,4th of 7,9,,788,758,"2,427,672",29.8,32.1,48,22,D.Mattingly (5.1),L.Piniella (89-73)
1986,New York Yankees,AL East,162,90,72,0,0.556,0.535,2nd of 7,5.5,,797,738,"2,268,030",29.2,30.3,43,18,D.Mattingly (7.2),L.Piniella (90-72)
1985,New York Yankees,AL East,161,97,64,0,0.602,0.608,2nd of 7,2,,839,660,"2,214,587",28.8,30.9,39,17,R.Henderson (9.9),Y.Berra (6-10) and B.Martin (91-54)
1984,New York Yankees,AL East,162,87,75,0,0.537,0.55,3rd of 7,17,,758,679,"1,821,815",29.6,29.8,41,17,D.Mattingly (6.3),Y.Berra (87-75)
1983,New York Yankees,AL East,162,91,71,0,0.562,0.542,3rd of 7,7,,770,703,"2,257,976",30.7,28.5,40,16,R.Guidry (5.3),B.Martin (91-71)
1982,New York Yankees,AL East,162,79,83,0,0.488,0.496,5th of 7,16,,709,716,"2,041,219",30.3,29,47,17,R.Gossage (4.5),"B.Lemon (6-8), G.Michael (44-42) and C.King (29-33)"
1981,New York Yankees,AL East,107,59,48,0,0.551,0.593,4th of 7,2,Lost WS (4-2),421,343,"1,614,353",30.8,30.2,39,16,D.Righetti (3.5),G.Michael (48-34) and B.Lemon (11-14)
