Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,San Diego Padres,NL West,60,37,23,0,0.617,0.633,2nd of 5,6,Lost NLDS (3-0),325,241,,26.7,27.8,47,24,M.Machado (3.2),J.Tingler (37-23)
2019,San Diego Padres,NL West,162,70,92,0,0.432,0.434,5th of 5,36,,682,789,"2,396,399",26.1,26.3,54,34,F.Tatis (4.2),A.Green (69-85) and R.Barajas (1-7)
2018,San Diego Padres,NL West,162,66,96,0,0.407,0.402,5th of 5,25.5,,617,767,"2,168,536",26.9,27.7,49,30,H.Renfroe (2.4),A.Green (66-96)
2017,San Diego Padres,NL West,162,71,91,0,0.438,0.366,4th of 5,33,,604,816,"2,138,491",26.2,27.7,52,32,B.Hand (3.0),A.Green (71-91)
2016,San Diego Padres,NL West,162,68,94,0,0.42,0.447,5th of 5,23,,686,770,"2,351,422",28.1,28.1,58,32,W.Myers (3.5),A.Green (68-94)
2015,San Diego Padres,NL West,162,74,88,0,0.457,0.446,4th of 5,18,,650,731,"2,459,752",27.6,29.1,46,26,J.Upton (4.2),"B.Black (32-33), D.Roberts (0-1) and P.Murphy (42-54)"
2014,San Diego Padres,NL West,162,77,85,0,0.475,0.465,3rd of 5,17,,535,577,"2,195,373",27.9,28.8,51,24,S.Smith (3.4),B.Black (77-85)
2013,San Diego Padres,NL West,162,76,86,0,0.469,0.443,3rd of 5,16,,618,700,"2,166,691",28.1,28.8,47,23,C.Denorfia (4.2),B.Black (76-86)
2012,San Diego Padres,NL West,162,76,86,0,0.469,0.46,4th of 5,18,,651,710,"2,123,721",27.4,28,53,30,C.Headley (6.4),B.Black (76-86)
2011,San Diego Padres,NL West,162,71,91,0,0.438,0.486,5th of 5,23,,593,611,"2,143,018",28,28.1,48,22,C.Maybin (4.4),B.Black (71-91)
2010,San Diego Padres,NL West,162,90,72,0,0.556,0.561,2nd of 5,2,,665,581,"2,131,774",29.1,27.2,40,19,A.Gonzalez (4.4),B.Black (90-72)
2009,San Diego Padres,NL West,162,75,87,0,0.463,0.415,4th of 5,20,,638,769,"1,919,603",28,26.8,56,33,A.Gonzalez (6.9),B.Black (75-87)
2008,San Diego Padres,NL West,162,63,99,0,0.389,0.418,5th of 5,21,,637,764,"2,427,535",28.9,30.2,59,32,B.Giles (4.8),B.Black (63-99)
2007,San Diego Padres,NL West,163,89,74,0,0.546,0.549,3rd of 5,1.5,,741,666,"2,790,074",29.9,31.5,49,21,J.Peavy (6.8),B.Black (89-74)
2006,San Diego Padres,NL West,162,88,74,0,0.543,0.534,1st of 5,--,Lost NLDS (3-1),731,679,"2,659,757",30.7,30.6,46,22,M.Cameron (4.4),B.Bochy (88-74)
2005,San Diego Padres,NL West,162,82,80,0,0.506,0.473,1st of 5,--,Lost NLDS (3-0),684,726,"2,869,787",31.1,31,46,23,B.Giles (4.9),B.Bochy (82-80)
2004,San Diego Padres,NL West,162,87,75,0,0.537,0.539,3rd of 5,6,,768,705,"3,016,752",29.6,30,47,24,M.Loretta (6.0),B.Bochy (87-75)
2003,San Diego Padres,NL West,162,64,98,0,0.395,0.408,5th of 5,36.5,,678,831,"2,030,084",28.5,27.8,51,27,M.Loretta (4.9),B.Bochy (64-98)
2002,San Diego Padres,NL West,162,66,96,0,0.407,0.406,5th of 5,32,,662,815,"2,220,601",29.1,27.8,59,37,R.Klesko (4.2),B.Bochy (66-96)
2001,San Diego Padres,NL West,162,79,83,0,0.488,0.487,4th of 5,13,,789,812,"2,378,128",28.9,28.7,48,25,P.Nevin (5.8),B.Bochy (79-83)
2000,San Diego Padres,NL West,162,76,86,0,0.469,0.463,5th of 5,21,,752,815,"2,352,443",28.6,27.5,56,29,P.Nevin (4.1),B.Bochy (76-86)
1999,San Diego Padres,NL West,162,74,88,0,0.457,0.457,4th of 5,26,,710,781,"2,523,538",29.7,28.8,41,20,R.Sanders (4.1),B.Bochy (74-88)
1998,San Diego Padres,NL West,162,98,64,0,0.605,0.575,1st of 5,--,Lost WS (4-0),749,635,"2,555,874",31.1,29.8,42,21,K.Brown (9.1),B.Bochy (98-64)
1997,San Diego Padres,NL West,162,76,86,0,0.469,0.448,4th of 4,14,,795,891,"2,089,333",30.8,28.1,45,21,T.Gwynn (4.3),B.Bochy (76-86)
1996,San Diego Padres,NL West,162,91,71,0,0.562,0.556,1st of 4,--,Lost NLDS (3-0),771,682,"2,187,886",30.9,28.7,43,19,K.Caminiti (7.6),B.Bochy (91-71)
1995,San Diego Padres,NL West,144,70,74,0,0.486,0.497,3rd of 4,8,,668,672,"1,041,805",28.8,26.6,40,20,A.Ashby (5.1),B.Bochy (70-74)
1994,San Diego Padres,NL West,117,47,70,0,0.402,0.453,4th of 4,12.5,,479,531,"953,857",27.2,26.8,40,20,T.Gwynn (4.2),J.Riggleman (47-70)
