Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,Philadelphia Phillies,NL East,60,28,32,0,0.467,0.493,3rd of 5,7,,306,311,,28.5,29.1,46,29,Z.Wheeler (2.8),J.Girardi (28-32)
2019,Philadelphia Phillies,NL East,162,81,81,0,0.5,0.488,4th of 5,16,,774,794,"2,727,421",27.6,28.4,56,34,J.Realmuto (4.6),G.Kapler (81-81)
2018,Philadelphia Phillies,NL East,162,80,82,0,0.494,0.467,3rd of 5,10,,677,728,"2,158,124",26.7,26.8,48,31,A.Nola (9.7),G.Kapler (80-82)
2017,Philadelphia Phillies,NL East,162,66,96,0,0.407,0.443,5th of 5,31,,690,782,"1,905,354",26.6,26.8,51,31,A.Nola (4.3),P.Mackanin (66-96)
2016,Philadelphia Phillies,NL East,162,71,91,0,0.438,0.381,4th of 5,24,,610,796,"1,915,144",26.9,26.3,49,27,O.Herrera (4.6),P.Mackanin (71-91)
2015,Philadelphia Phillies,NL East,162,63,99,0,0.389,0.385,5th of 5,27,,626,809,"1,831,080",28,28.5,50,30,O.Herrera (4.1),R.Sandberg (26-48) and P.Mackanin (37-51)
2014,Philadelphia Phillies,NL East,162,73,89,0,0.451,0.452,5th of 5,23,,619,687,"2,423,852",30.8,30.1,49,26,C.Hamels (6.6),R.Sandberg (73-89)
2013,Philadelphia Phillies,NL East,162,73,89,0,0.451,0.407,4th of 5,23,,610,749,"3,012,403",30,28.7,51,27,C.Lee (6.8),C.Manuel (53-67) and R.Sandberg (20-22)
2012,Philadelphia Phillies,NL East,162,81,81,0,0.5,0.503,3rd of 5,17,,684,680,"3,565,718",31.1,29.1,49,24,C.Hamels (5.1),C.Manuel (81-81)
2011,Philadelphia Phillies,NL East,162,102,60,0,0.63,0.633,1st of 5,--,Lost NLDS (3-2),713,529,"3,680,718",31.4,29.2,42,23,C.Lee (9.0),C.Manuel (102-60)
