Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,Pittsburgh Pirates,NL Central,60,19,41,0,0.317,0.363,5th of 5,15,,219,298,,27.1,27.7,49,29,K.Hayes (1.9),D.Shelton (19-41)
2019,Pittsburgh Pirates,NL Central,162,69,93,0,0.426,0.417,5th of 5,22,,758,911,"1,491,439",27.4,27.2,54,34,B.Reynolds (4.1),C.Hurdle (69-92) and T.Prince (0-1)
2018,Pittsburgh Pirates,NL Central,161,82,79,0,0.509,0.499,4th of 5,13,,692,693,"1,465,316",27.8,26.5,48,24,J.Taillon (4.6),C.Hurdle (82-79)
2017,Pittsburgh Pirates,NL Central,162,75,87,0,0.463,0.459,4th of 5,17,,668,731,"1,919,447",28.2,27.1,47,24,J.Harrison (3.6),C.Hurdle (75-87)
2016,Pittsburgh Pirates,NL Central,162,78,83,1,0.484,0.482,3rd of 5,25,,729,758,"2,249,201",28.9,28.6,55,32,S.Marte (4.8),C.Hurdle (78-83)
2015,Pittsburgh Pirates,NL Central,162,98,64,0,0.605,0.571,2nd of 5,2,Lost NLWC (1-0),697,596,"2,498,596",28.2,29.6,46,21,A.McCutchen (5.0),C.Hurdle (98-64)
2014,Pittsburgh Pirates,NL Central,162,88,74,0,0.543,0.535,2nd of 5,2,Lost NLWC (1-0),682,631,"2,442,564",27.3,28.1,45,23,A.McCutchen (6.4),C.Hurdle (88-74)
2013,Pittsburgh Pirates,NL Central,162,94,68,0,0.58,0.543,2nd of 5,3,Lost NLDS (3-2),634,577,"2,256,862",27.9,28.7,49,29,A.McCutchen (7.8),C.Hurdle (94-68)
2012,Pittsburgh Pirates,NL Central,162,79,83,0,0.488,0.484,4th of 6,18,,651,674,"2,091,918",27.6,30.2,49,25,A.McCutchen (6.9),C.Hurdle (79-83)
2011,Pittsburgh Pirates,NL Central,162,72,90,0,0.444,0.43,4th of 6,24,,610,712,"1,940,429",27.2,28.1,52,25,A.McCutchen (5.4),C.Hurdle (72-90)
2010,Pittsburgh Pirates,NL Central,162,57,105,0,0.352,0.329,6th of 6,34,,587,866,"1,613,399",26.5,28.6,52,28,A.McCutchen (3.8),J.Russell (57-105)
2009,Pittsburgh Pirates,NL Central,161,62,99,0,0.385,0.415,6th of 6,28.5,,636,768,"1,577,853",27,26.3,49,26,G.Jones (3.3),J.Russell (62-99)
2008,Pittsburgh Pirates,NL Central,162,67,95,0,0.414,0.416,6th of 6,30.5,,735,884,"1,609,076",28.4,26.5,47,26,P.Maholm (3.8),J.Russell (67-95)
2007,Pittsburgh Pirates,NL Central,162,68,94,0,0.42,0.429,6th of 6,17,,724,846,"1,749,142",27.2,27.1,46,25,J.Wilson (3.6),J.Tracy (68-94)
2006,Pittsburgh Pirates,NL Central,162,67,95,0,0.414,0.435,5th of 6,16.5,,691,797,"1,861,549",27.8,27,42,22,F.Sanchez (4.4),J.Tracy (67-95)
2005,Pittsburgh Pirates,NL Central,162,67,95,0,0.414,0.444,6th of 6,33,,680,769,"1,817,245",27.4,28.7,44,19,J.Bay (5.7),L.McClendon (55-81) and P.Mackanin (12-14)
2004,Pittsburgh Pirates,NL Central,161,72,89,0,0.447,0.459,5th of 6,32.5,,680,744,"1,580,031",27.2,27.7,43,22,O.Perez (5.9),L.McClendon (72-89)
2003,Pittsburgh Pirates,NL Central,162,75,87,0,0.463,0.472,4th of 6,13,,753,801,"1,636,751",29.7,28.3,46,23,K.Wells (5.0),L.McClendon (75-87)
2002,Pittsburgh Pirates,NL Central,161,72,89,0,0.447,0.441,4th of 6,24.5,,641,730,"1,784,988",27.9,28.1,38,19,B.Giles (5.3),L.McClendon (72-89)
2001,Pittsburgh Pirates,NL Central,162,62,100,0,0.383,0.38,6th of 6,31,,657,858,"2,464,870",27.8,28.1,49,22,B.Giles (5.3),L.McClendon (62-100)
2000,Pittsburgh Pirates,NL Central,162,69,93,0,0.426,0.448,5th of 6,26,,793,888,"1,748,908",28.3,27.1,46,24,B.Giles (6.4),G.Lamont (69-93)
1999,Pittsburgh Pirates,NL Central,161,78,83,0,0.484,0.496,3rd of 6,18.5,,775,782,"1,638,023",28.3,26.8,45,21,B.Giles (6.7),G.Lamont (78-83)
1998,Pittsburgh Pirates,NL Central,163,69,93,1,0.426,0.455,6th of 6,33,,650,718,"1,560,950",26.7,26.5,38,17,J.Kendall (5.6),G.Lamont (69-93)
1997,Pittsburgh Pirates,NL Central,162,79,83,0,0.488,0.478,2nd of 5,5,,725,760,"1,657,022",26.6,25.7,43,21,F.Cordova (4.3),G.Lamont (79-83)
1996,Pittsburgh Pirates,NL Central,162,73,89,0,0.451,0.468,5th of 5,15,,776,833,"1,332,150",28.8,27.9,46,25,D.Neagle (6.0),J.Leyland (73-89)
1995,Pittsburgh Pirates,NL Central,144,58,86,0,0.403,0.429,5th of 5,27,,629,736,"905,517",28.3,26.4,40,21,D.Neagle (4.5),J.Leyland (58-86)
1994,Pittsburgh Pirates,NL Central,114,53,61,0,0.465,0.401,3rd of 5,13,,466,580,"1,222,520",29.1,27.2,39,18,J.Bell (3.4),J.Leyland (53-61)
1993,Pittsburgh Pirates,NL East,162,75,87,0,0.463,0.44,5th of 7,22,,707,806,"1,650,593",28.1,27.6,47,23,J.Bell (6.2),J.Leyland (75-87)
1992,Pittsburgh Pirates,NL East,162,96,66,0,0.593,0.569,1st of 6,--,Lost NLCS (4-3),693,595,"1,829,395",28.7,29.2,43,21,B.Bonds (9.0),J.Leyland (96-66)
1991,Pittsburgh Pirates,NL East,162,98,64,0,0.605,0.588,1st of 6,--,Lost NLCS (4-3),768,632,"2,065,302",28.1,28.4,43,17,B.Bonds (8.0),J.Leyland (98-64)
1990,Pittsburgh Pirates,NL East,162,95,67,0,0.586,0.577,1st of 6,--,Lost NLCS (4-2),733,619,"2,049,908",27.7,28.9,46,23,B.Bonds (9.7),J.Leyland (95-67)
1989,Pittsburgh Pirates,NL East,164,74,88,2,0.457,0.47,5th of 6,19,,637,680,"1,374,141",27,28.1,45,22,B.Bonds (8.0),J.Leyland (74-88)
1988,Pittsburgh Pirates,NL East,160,85,75,0,0.531,0.525,2nd of 6,15,,651,616,"1,866,713",26,26.2,42,18,A.Van Slyke (6.4),J.Leyland (85-75)
1987,Pittsburgh Pirates,NL East,162,80,82,0,0.494,0.487,4th of 6,15,,723,744,"1,161,193",26.4,26.5,49,22,B.Bonds (5.8),J.Leyland (80-82)
1986,Pittsburgh Pirates,NL East,162,64,98,0,0.395,0.475,6th of 6,44,,663,700,"1,000,917",27.2,28.5,39,18,R.Rhoden (7.6),J.Leyland (64-98)
1985,Pittsburgh Pirates,NL East,161,57,104,0,0.354,0.401,6th of 6,43.5,,568,708,"735,900",28.2,28.5,43,18,R.Reuschel (6.4),C.Tanner (57-104)
1984,Pittsburgh Pirates,NL East,162,75,87,0,0.463,0.537,6th of 6,21.5,,615,567,"773,500",28.3,28.9,37,17,R.Rhoden (6.5),C.Tanner (75-87)
1983,Pittsburgh Pirates,NL East,162,84,78,0,0.519,0.508,2nd of 6,6,,659,648,"1,225,916",28.6,28.5,38,16,J.Ray (5.1),C.Tanner (84-78)
1982,Pittsburgh Pirates,NL East,162,84,78,0,0.519,0.518,4th of 6,8,,724,696,"1,024,106",28.7,28.4,43,16,B.Madlock (6.2),C.Tanner (84-78)
1981,Pittsburgh Pirates,NL East,103,46,56,1,0.451,0.48,4th of 6,13,,407,425,"541,789",29.1,29.9,37,16,B.Madlock (3.5),C.Tanner (46-56)
1980,Pittsburgh Pirates,NL East,162,83,79,0,0.512,0.514,3rd of 6,8,,666,646,"1,646,757",29.6,29.9,37,17,M.Easler (4.1),C.Tanner (83-79)
1979,Pittsburgh Pirates,NL East,163,98,64,1,0.605,0.585,1st of 6,--,Won WS (4-3),775,643,"1,435,454",29.4,29.7,34,14,D.Parker (6.7),C.Tanner (98-64)
1978,Pittsburgh Pirates,NL East,161,88,73,0,0.547,0.533,2nd of 6,1.5,,684,637,"964,106",29.1,28.3,37,14,D.Parker (7.0),C.Tanner (88-73)
1977,Pittsburgh Pirates,NL East,162,96,66,0,0.593,0.545,2nd of 6,5,,734,665,"1,237,349",28.1,27.3,36,15,J.Candelaria (7.9),C.Tanner (96-66)
1976,Pittsburgh Pirates,NL East,162,92,70,0,0.568,0.553,2nd of 6,9,,708,630,"1,025,945",28.5,27.6,31,12,A.Oliver (4.1),D.Murtaugh (92-70)
1975,Pittsburgh Pirates,NL East,161,92,69,0,0.571,0.604,1st of 6,--,Lost NLCS (3-0),712,565,"1,270,018",27.6,27.8,34,14,D.Parker (6.3),D.Murtaugh (92-69)
1974,Pittsburgh Pirates,NL East,162,88,74,0,0.543,0.561,1st of 6,--,Lost NLCS (3-1),751,657,"1,110,552",27.1,27.7,39,17,J.Rooker (6.0),D.Murtaugh (88-74)
1973,Pittsburgh Pirates,NL East,162,80,82,0,0.494,0.507,3rd of 6,2.5,,704,693,"1,319,913",27,28.8,36,16,W.Stargell (7.2),B.Virdon (67-69) and D.Murtaugh (13-13)
1972,Pittsburgh Pirates,NL East,155,96,59,0,0.619,0.634,1st of 6,--,Lost NLCS (3-2),691,512,"1,427,460",27.9,27.9,33,13,R.Hebner (5.3),B.Virdon (96-59)
1971,Pittsburgh Pirates,NL East,162,97,65,0,0.599,0.623,1st of 6,--,Won WS (4-3),788,599,"1,501,132",27.6,27.7,35,15,W.Stargell (7.9),D.Murtaugh (97-65)
1970,Pittsburgh Pirates,NL East,162,89,73,0,0.549,0.543,1st of 6,--,Lost NLCS (3-0),729,664,"1,341,947",27.7,27.9,39,20,R.Clemente (5.5),D.Murtaugh (89-73)
1969,Pittsburgh Pirates,NL East,162,88,74,0,0.543,0.548,3rd of 6,12,,725,652,"769,369",27.2,28.2,35,16,R.Clemente (7.5),L.Shepard (84-73) and A.Grammas (4-1)
1968,Pittsburgh Pirates,NL,163,80,82,1,0.494,0.542,6th of 10,17,,583,532,"693,485",29.7,29.4,33,14,R.Clemente (8.2),L.Shepard (80-82)
1967,Pittsburgh Pirates,NL,163,81,81,1,0.5,0.491,6th of 10,20.5,,679,693,"907,012",29.2,29.1,34,16,R.Clemente (8.9),H.Walker (42-42) and D.Murtaugh (39-39)
1966,Pittsburgh Pirates,NL,162,92,70,0,0.568,0.577,3rd of 10,3,,759,641,"1,196,618",28.2,29.1,32,14,R.Clemente (8.2),H.Walker (92-70)
