Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,Seattle Mariners,AL West,60,27,33,0,0.45,0.42,3rd of 5,9,,254,303,,26.7,26.6,49,29,D.Moore (1.7),S.Servais (27-33)
2019,Seattle Mariners,AL West,162,68,94,0,0.42,0.426,5th of 5,39,,758,893,"1,791,109",27.8,28.6,67,42,M.Gonzales (3.6),S.Servais (68-94)
2018,Seattle Mariners,AL West,162,89,73,0,0.549,0.478,3rd of 5,14,,677,711,"2,299,489",29.8,29,53,32,M.Haniger (6.5),S.Servais (89-73)
2017,Seattle Mariners,AL West,162,78,84,0,0.481,0.487,3rd of 5,23,,750,772,"2,135,445",29.6,27.8,61,40,N.Cruz (4.3),S.Servais (78-84)
2016,Seattle Mariners,AL West,162,86,76,0,0.531,0.538,2nd of 5,9,,768,707,"2,267,928",30.5,28.8,54,32,R.Cano (7.3),S.Servais (86-76)
2015,Seattle Mariners,AL West,162,76,86,0,0.469,0.454,4th of 5,12,,656,726,"2,193,581",28.6,28.6,51,28,K.Seager (5.4),L.McClendon (76-86)
2014,Seattle Mariners,AL West,162,87,75,0,0.537,0.561,3rd of 5,11,,634,554,"2,064,334",27.5,29,44,20,R.Cano (6.3),L.McClendon (87-75)
2013,Seattle Mariners,AL West,162,71,91,0,0.438,0.414,4th of 5,25,,624,754,"1,761,546",28.6,28,47,22,H.Iwakuma (7.0),E.Wedge (71-91)
2012,Seattle Mariners,AL West,162,75,87,0,0.463,0.477,4th of 4,19,,619,651,"1,721,920",27,27.9,38,18,F.Hernandez (5.3),E.Wedge (75-87)
2011,Seattle Mariners,AL West,162,67,95,0,0.414,0.412,4th of 4,29,,556,675,"1,896,321",29.3,26.8,47,21,B.Ryan (4.2),E.Wedge (67-95)
2010,Seattle Mariners,AL West,162,61,101,0,0.377,0.363,4th of 4,29,,513,698,"2,085,630",29.6,27.1,47,22,F.Hernandez (7.1),D.Wakamatsu (42-70) and D.Brown (19-31)
2009,Seattle Mariners,AL West,162,85,77,0,0.525,0.464,3rd of 4,12,,640,692,"2,195,533",29.9,27.4,46,20,F.Gutierrez (6.6),D.Wakamatsu (85-77)
2008,Seattle Mariners,AL West,162,61,101,0,0.377,0.414,4th of 4,39,,671,811,"2,329,702",29.7,28.5,44,22,A.Beltre (5.6),J.McLaren (25-47) and J.Riggleman (36-54)
2007,Seattle Mariners,AL West,162,88,74,0,0.543,0.489,2nd of 4,6,,794,813,"2,672,223",29.9,28.1,44,23,I.Suzuki (5.8),M.Hargrove (45-33) and J.McLaren (43-41)
2006,Seattle Mariners,AL West,162,78,84,0,0.481,0.479,4th of 4,15,,756,792,"2,481,165",28.7,28,49,25,A.Beltre (5.4),M.Hargrove (78-84)
2005,Seattle Mariners,AL West,162,69,93,0,0.426,0.467,4th of 4,26,,699,751,"2,725,459",28.7,31.4,48,21,I.Suzuki (3.9),M.Hargrove (69-93)
2004,Seattle Mariners,AL West,162,63,99,0,0.389,0.425,4th of 4,29,,698,823,"2,940,731",31.6,30.4,48,23,I.Suzuki (9.2),B.Melvin (63-99)
2003,Seattle Mariners,AL West,162,93,69,0,0.574,0.6,2nd of 4,3,,795,637,"3,268,509",32,29.8,37,18,B.Boone (5.9),B.Melvin (93-69)
2002,Seattle Mariners,AL West,162,93,69,0,0.574,0.569,3rd of 4,10,,814,699,"3,542,938",31.2,30.2,40,19,J.Moyer (5.6),L.Piniella (93-69)
2001,Seattle Mariners,AL West,162,116,46,0,0.716,0.672,1st of 4,--,Lost ALCS (4-1),927,627,"3,507,326",31.4,30.8,35,15,B.Boone (8.8),L.Piniella (116-46)
2000,Seattle Mariners,AL West,162,91,71,0,0.562,0.569,2nd of 4,0.5,Lost ALCS (4-2),907,780,"2,914,624",31.4,29.3,37,16,A.Rodriguez (10.4),L.Piniella (91-71)
1999,Seattle Mariners,AL West,162,79,83,0,0.488,0.476,3rd of 4,16,,859,905,"2,916,346",29.3,28.2,51,28,J.Moyer (6.6),L.Piniella (79-83)
1998,Seattle Mariners,AL West,161,76,85,0,0.472,0.502,3rd of 4,11.5,,859,855,"2,651,511",29.8,31.3,47,20,A.Rodriguez (8.5),L.Piniella (76-85)
1997,Seattle Mariners,AL West,162,90,72,0,0.556,0.548,1st of 4,--,Lost ALDS (3-1),925,833,"3,192,237",29.3,30.4,47,24,K.Griffey (9.1),L.Piniella (90-72)
1996,Seattle Mariners,AL West,161,85,76,0,0.528,0.547,2nd of 4,4.5,,993,895,"2,723,850",28.7,27.8,49,25,K.Griffey (9.7),L.Piniella (85-76)
1995,Seattle Mariners,AL West,145,79,66,0,0.545,0.553,1st of 4,--,Lost ALCS (4-2),796,708,"1,643,203",28.8,28.8,46,24,R.Johnson (8.6),L.Piniella (79-66)
1994,Seattle Mariners,AL West,112,49,63,0,0.438,0.464,3rd of 4,2,,569,616,"1,104,206",27.4,27.1,44,20,K.Griffey (6.9),L.Piniella (49-63)
1993,Seattle Mariners,AL West,162,82,80,0,0.506,0.502,4th of 7,12,,734,731,"2,052,638",27.9,28.3,48,23,K.Griffey (8.8),L.Piniella (82-80)
