Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,San Francisco Giants,NL West,60,29,31,0,0.483,0.503,3rd of 5,14,,299,297,,29.8,29,45,23,M.Yastrzemski (2.7),G.Kapler (29-31)
2019,San Francisco Giants,NL West,162,77,85,0,0.475,0.44,3rd of 5,29,,678,773,"2,707,760",29.9,28.9,64,35,J.Samardzija (3.0),B.Bochy (77-85)
2018,San Francisco Giants,NL West,162,73,89,0,0.451,0.433,4th of 5,18.5,,603,699,"3,156,185",29.8,28.6,48,27,B.Posey (2.8),B.Bochy (73-89)
2017,San Francisco Giants,NL West,162,64,98,0,0.395,0.412,5th of 5,40,,639,776,"3,303,652",29.5,28.9,49,22,B.Posey (4.0),B.Bochy (64-98)
2016,San Francisco Giants,NL West,162,87,75,0,0.537,0.557,2nd of 5,4,Lost NLDS (3-1),715,631,"3,365,256",29.1,30,45,25,M.Bumgarner (5.7),B.Bochy (87-75)
2015,San Francisco Giants,NL West,162,84,78,0,0.519,0.548,2nd of 5,8,,696,627,"3,375,882",28.9,31.5,48,21,B.Posey (5.9),B.Bochy (84-78)
2014,San Francisco Giants,NL West,162,88,74,0,0.543,0.536,2nd of 5,6,Won WS (4-3),665,614,"3,368,697",28.6,31.7,46,21,B.Posey (5.1),B.Bochy (88-74)
2013,San Francisco Giants,NL West,162,76,86,0,0.469,0.457,3rd of 5,16,,629,691,"3,369,106",28.7,29.6,44,21,B.Posey (5.3),B.Bochy (76-86)
2012,San Francisco Giants,NL West,162,94,68,0,0.58,0.546,1st of 5,--,Won WS (4-0),718,649,"3,377,371",27.8,30,45,23,B.Posey (7.6),B.Bochy (94-68)
2011,San Francisco Giants,NL West,162,86,76,0,0.531,0.494,2nd of 5,8,,570,578,"3,387,303",30.2,28.5,44,17,P.Sandoval (6.0),B.Bochy (86-76)
2010,San Francisco Giants,NL West,162,92,70,0,0.568,0.581,1st of 5,--,Won WS (4-1),697,583,"3,037,443",29.6,27.9,42,19,A.Huff (5.7),B.Bochy (92-70)
2009,San Francisco Giants,NL West,162,88,74,0,0.543,0.533,3rd of 5,7,,657,611,"2,862,110",29,28.7,44,21,T.Lincecum (7.4),B.Bochy (88-74)
2008,San Francisco Giants,NL West,162,72,90,0,0.444,0.423,4th of 5,12,,640,759,"2,863,837",29.6,27.1,49,20,T.Lincecum (8.0),B.Bochy (72-90)
2007,San Francisco Giants,NL West,162,71,91,0,0.438,0.476,5th of 5,19,,683,720,"3,223,215",32.7,27.3,44,22,M.Cain (4.3),B.Bochy (71-91)
2006,San Francisco Giants,NL West,161,76,85,0,0.472,0.474,3rd of 5,11.5,,746,790,"3,130,313",33.7,28.7,44,21,B.Bonds (4.0),F.Alou (76-85)
2005,San Francisco Giants,NL West,162,75,87,0,0.463,0.437,3rd of 5,7,,649,745,"3,181,023",32.2,30,50,24,N.Lowry (4.8),F.Alou (75-87)
2004,San Francisco Giants,NL West,162,91,71,0,0.562,0.545,2nd of 5,2,,850,770,"3,256,854",31.6,30.1,43,22,B.Bonds (10.6),F.Alou (91-71)
2003,San Francisco Giants,NL West,161,100,61,0,0.621,0.576,1st of 5,--,Lost NLDS (3-1),755,638,"3,264,898",32.1,28.6,46,21,B.Bonds (9.2),F.Alou (100-61)
2002,San Francisco Giants,NL West,162,95,66,1,0.59,0.608,2nd of 5,2.5,Lost WS (4-3),783,616,"3,253,203",32.1,29.2,38,17,B.Bonds (11.7),D.Baker (95-66)
2001,San Francisco Giants,NL West,162,90,72,0,0.556,0.53,2nd of 5,2,,799,748,"3,311,958",31.5,29.2,41,18,B.Bonds (11.9),D.Baker (90-72)
2000,San Francisco Giants,NL West,162,97,65,0,0.599,0.597,1st of 5,--,Lost NLDS (3-1),925,747,"3,318,800",29.9,28.5,36,17,B.Bonds (7.7),D.Baker (97-65)
1999,San Francisco Giants,NL West,162,86,76,0,0.531,0.522,2nd of 5,14,,872,831,"2,078,399",30.3,28.6,35,16,B.Bonds (3.8),D.Baker (86-76)
1998,San Francisco Giants,NL West,163,89,74,0,0.546,0.561,2nd of 5,9.5,,845,739,"1,925,364",30.7,31.8,41,17,B.Bonds (8.1),D.Baker (89-74)
1997,San Francisco Giants,NL West,162,90,72,0,0.556,0.495,1st of 4,--,Lost NLDS (3-0),784,793,"1,690,869",29.6,28.9,42,23,B.Bonds (8.2),D.Baker (90-72)
1996,San Francisco Giants,NL West,162,68,94,0,0.42,0.438,4th of 4,23,,752,862,"1,413,922",28.9,28.4,49,20,B.Bonds (9.7),D.Baker (68-94)
1995,San Francisco Giants,NL West,144,67,77,0,0.465,0.421,4th of 4,11,,652,776,"1,241,500",28.8,28.6,46,25,B.Bonds (7.5),D.Baker (67-77)
1994,San Francisco Giants,NL West,115,55,60,0,0.478,0.504,2nd of 4,3.5,,504,500,"1,704,608",28.4,28.5,36,17,B.Bonds (6.2),D.Baker (55-60)
1993,San Francisco Giants,NL West,162,103,59,0,0.636,0.608,2nd of 7,1,,808,636,"2,606,354",28,28.5,42,18,B.Bonds (9.9),D.Baker (103-59)
1992,San Francisco Giants,NL West,162,72,90,0,0.444,0.445,5th of 6,26,,574,647,"1,560,998",28.1,28.2,40,18,B.Swift (4.6),R.Craig (72-90)
1991,San Francisco Giants,NL West,162,75,87,0,0.463,0.467,4th of 6,19,,649,697,"1,737,478",28.4,28.9,41,19,M.Williams (5.5),R.Craig (75-87)
1990,San Francisco Giants,NL West,162,85,77,0,0.525,0.506,3rd of 6,6,,719,710,"1,975,528",29.1,29.5,51,26,B.Butler (5.0),R.Craig (85-77)
1989,San Francisco Giants,NL West,162,92,70,0,0.568,0.569,1st of 6,--,Lost WS (4-0),699,600,"2,059,701",28.5,31.6,45,21,W.Clark (8.6),R.Craig (92-70)
1988,San Francisco Giants,NL West,162,83,79,0,0.512,0.531,4th of 6,11.5,,670,626,"1,785,297",28.3,31.1,43,18,B.Butler (6.8),R.Craig (83-79)
1987,San Francisco Giants,NL West,162,90,72,0,0.556,0.571,1st of 6,--,Lost NLCS (4-3),783,669,"1,917,168",27.9,29.1,46,20,W.Clark (4.2),R.Craig (90-72)
1986,San Francisco Giants,NL West,162,83,79,0,0.512,0.555,3rd of 6,13,,698,618,"1,528,748",26.9,29.3,40,18,C.Davis (4.1),R.Craig (83-79)
1985,San Francisco Giants,NL West,162,62,100,0,0.383,0.413,6th of 6,33,,556,674,"818,697",27.7,27.7,36,15,M.Krukow (3.5),J.Davenport (56-88) and R.Craig (6-12)
1984,San Francisco Giants,NL West,162,66,96,0,0.407,0.424,6th of 6,26,,682,807,"1,001,545",29,27.4,39,16,C.Davis (5.1),F.Robinson (42-64) and D.Ozark (24-32)
1983,San Francisco Giants,NL West,162,79,83,0,0.488,0.493,5th of 6,12,,687,697,"1,251,530",28,27.8,41,16,A.Hammaker (4.4),F.Robinson (79-83)
1982,San Francisco Giants,NL West,162,87,75,0,0.537,0.491,3rd of 6,2,,673,687,"1,200,948",29.2,27.4,37,15,G.Minton (5.5),F.Robinson (87-75)
1981,San Francisco Giants,NL West,111,56,55,0,0.505,0.514,4th of 6,11.5,,427,414,"632,274",29.7,29.1,35,13,D.Alexander (3.5),F.Robinson (56-55)
1980,San Francisco Giants,NL West,161,75,86,0,0.466,0.454,5th of 6,17,,573,634,"1,096,115",28.2,27.6,38,17,J.Clark (4.7),D.Bristol (75-86)
1979,San Francisco Giants,NL West,162,71,91,0,0.438,0.449,4th of 6,19.5,,672,751,"1,456,402",28.1,28.3,36,16,J.Clark (3.5),J.Altobelli (61-79) and D.Bristol (10-12)
1978,San Francisco Giants,NL West,162,89,73,0,0.549,0.514,3rd of 6,6,,613,594,"1,740,477",27.2,27.8,34,14,V.Blue (6.2),J.Altobelli (89-73)
1977,San Francisco Giants,NL West,162,75,87,0,0.463,0.475,4th of 6,23,,673,711,"700,056",26.7,27,33,13,E.Halicki (5.7),J.Altobelli (75-87)
