Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,St. Louis Cardinals,NL Central,58,30,28,0,0.517,0.521,2nd of 5,3,Lost NLWC (2-1),240,229,,28.9,27.6,44,26,P.Goldschmidt (2.0),M.Shildt (30-28)
2019,St. Louis Cardinals,NL Central,162,91,71,0,0.562,0.565,1st of 5,--,Lost NLCS (4-0),764,662,"3,480,393",28.8,27.8,43,23,J.Flaherty (5.6),M.Shildt (91-71)
2018,St. Louis Cardinals,NL Central,162,88,74,0,0.543,0.543,3rd of 5,7.5,,759,691,"3,403,587",28.1,26.7,49,30,M.Mikolas (4.8),M.Matheny (47-46) and M.Shildt (41-28)
2017,St. Louis Cardinals,NL Central,162,83,79,0,0.512,0.535,3rd of 5,9,,761,705,"3,448,337",28,28.3,48,25,T.Pham (6.2),M.Matheny (83-79)
2016,St. Louis Cardinals,NL Central,162,86,76,0,0.531,0.541,2nd of 5,17.5,,779,712,"3,444,490",28.5,28,41,21,C.Martinez (6.1),M.Matheny (86-76)
2015,St. Louis Cardinals,NL Central,162,100,62,0,0.617,0.594,1st of 5,--,Lost NLDS (3-1),647,525,"3,520,889",28.4,28.2,46,23,J.Heyward (6.9),M.Matheny (100-62)
2014,St. Louis Cardinals,NL Central,162,90,72,0,0.556,0.512,1st of 5,--,Lost NLCS (4-1),619,603,"3,540,649",28.6,27.2,46,24,A.Wainwright (6.4),M.Matheny (90-72)
2013,St. Louis Cardinals,NL Central,162,97,65,0,0.599,0.622,1st of 5,--,Lost WS (4-2),783,596,"3,369,769",28.7,26.9,44,25,M.Carpenter (6.6),M.Matheny (97-65)
2012,St. Louis Cardinals,NL Central,162,88,74,0,0.543,0.575,2nd of 6,9,Lost NLCS (4-3),765,648,"3,262,109",29.2,28.6,45,24,Y.Molina (7.2),M.Matheny (88-74)
2011,St. Louis Cardinals,NL Central,162,90,72,0,0.556,0.544,2nd of 6,6,Won WS (4-3),762,692,"3,093,954",29.3,30.2,46,24,A.Pujols (5.3),T.La Russa (90-72)
2010,St. Louis Cardinals,NL Central,162,86,76,0,0.531,0.563,2nd of 6,5,,736,641,"3,301,218",28.8,30.2,42,22,A.Pujols (7.5),T.La Russa (86-76)
2009,St. Louis Cardinals,NL Central,162,91,71,0,0.562,0.56,1st of 6,--,Lost NLDS (3-0),730,640,"3,343,252",28.5,30.1,42,20,A.Pujols (9.7),T.La Russa (91-71)
2008,St. Louis Cardinals,NL Central,162,86,76,0,0.531,0.533,4th of 6,11.5,,779,725,"3,432,917",28.8,30.2,43,24,A.Pujols (9.2),T.La Russa (86-76)
2007,St. Louis Cardinals,NL Central,162,78,84,0,0.481,0.439,3rd of 6,7,,725,829,"3,552,180",30.2,29.6,45,25,A.Pujols (8.7),T.La Russa (78-84)
2006,St. Louis Cardinals,NL Central,161,83,78,0,0.516,0.511,1st of 6,--,Won WS (4-1),781,762,"3,407,104",29.6,28.6,41,19,A.Pujols (8.5),T.La Russa (83-78)
2005,St. Louis Cardinals,NL Central,162,100,62,0,0.617,0.608,1st of 6,--,Lost NLCS (4-2),805,634,"3,538,988",30.8,29.7,40,20,A.Pujols (8.4),T.La Russa (100-62)
2004,St. Louis Cardinals,NL Central,162,105,57,0,0.648,0.617,1st of 6,--,Lost WS (4-0),855,659,"3,048,427",30.6,30.1,37,20,S.Rolen (9.2),T.La Russa (105-57)
2003,St. Louis Cardinals,NL Central,162,85,77,0,0.525,0.544,3rd of 6,3,,876,796,"2,910,386",29.9,31.2,42,24,A.Pujols (8.7),T.La Russa (85-77)
2002,St. Louis Cardinals,NL Central,162,97,65,0,0.599,0.588,1st of 6,--,Lost NLCS (4-1),787,648,"3,011,756",28.9,30.2,44,26,J.Edmonds (6.7),T.La Russa (97-65)
2001,St. Louis Cardinals,NL Central,162,93,69,0,0.574,0.579,2nd of 6,--,Lost NLDS (3-2),814,684,"3,109,578",28.8,29.3,40,22,A.Pujols (6.6),T.La Russa (93-69)
2000,St. Louis Cardinals,NL Central,162,95,67,0,0.586,0.564,1st of 6,--,Lost NLCS (4-1),887,771,"3,336,493",29.7,29.3,46,24,J.Edmonds (6.3),T.La Russa (95-67)
1999,St. Louis Cardinals,NL Central,161,75,86,0,0.466,0.484,4th of 6,21.5,,809,838,"3,225,334",28.7,28.6,42,22,M.McGwire (5.2),T.La Russa (75-86)
1998,St. Louis Cardinals,NL Central,163,83,79,1,0.512,0.516,3rd of 6,19,,810,782,"3,195,691",30.5,28.9,45,23,M.McGwire (7.5),T.La Russa (83-79)
