Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,Texas Rangers,AL West,60,22,38,0,0.367,0.353,5th of 5,14,,224,312,,27.5,28.7,49,25,L.Lynn (2.5),C.Woodward (22-38)
2019,Texas Rangers,AL West,162,78,84,0,0.481,0.463,3rd of 5,29,,810,878,"2,132,994",28.8,28.3,53,36,M.Minor (7.7),C.Woodward (78-84)
2018,Texas Rangers,AL West,162,67,95,0,0.414,0.436,5th of 5,36,,737,848,"2,107,107",27.4,30.4,50,32,M.Minor (3.4),J.Banister (64-88) and D.Wakamatsu (3-7)
2017,Texas Rangers,AL West,162,78,84,0,0.481,0.49,3rd of 5,23,,799,816,"2,507,760",28.4,28.8,51,31,E.Andrus (5.4),J.Banister (78-84)
2016,Texas Rangers,AL West,162,95,67,0,0.586,0.505,1st of 5,--,Lost ALDS (3-0),765,757,"2,710,402",28.4,28.8,52,31,A.Beltre (6.7),J.Banister (95-67)
2015,Texas Rangers,AL West,162,88,74,0,0.543,0.511,1st of 5,--,Lost ALDS (3-2),751,733,"2,491,875",28.7,28.1,57,31,A.Beltre (4.4),J.Banister (88-74)
2014,Texas Rangers,AL West,162,67,95,0,0.414,0.412,5th of 5,31,,637,773,"2,718,733",28.4,27.9,64,41,A.Beltre (6.2),R.Washington (53-87) and T.Bogar (14-8)
2013,Texas Rangers,AL West,163,91,72,0,0.558,0.563,2nd of 5,5.5,,730,636,"3,178,273",29.6,27.9,46,25,A.Beltre (5.7),R.Washington (91-72)
2012,Texas Rangers,AL West,162,93,69,0,0.574,0.561,2nd of 4,1,Lost ALWC (1-0),808,707,"3,460,280",29.7,28.8,39,21,A.Beltre (7.2),R.Washington (93-69)
2011,Texas Rangers,AL West,162,96,66,0,0.593,0.605,1st of 4,--,Lost WS (4-3),855,677,"2,946,949",29.1,28.8,45,25,I.Kinsler (7.0),R.Washington (96-66)
2010,Texas Rangers,AL West,162,90,72,0,0.556,0.562,1st of 4,--,Lost WS (4-1),787,687,"2,505,171",28.3,27.6,48,22,J.Hamilton (8.7),R.Washington (90-72)
2009,Texas Rangers,AL West,162,87,75,0,0.537,0.526,2nd of 4,10,,784,740,"2,156,016",27.8,27.7,44,23,I.Kinsler (6.0),R.Washington (87-75)
2008,Texas Rangers,AL West,162,79,83,0,0.488,0.468,2nd of 4,21,,901,967,"1,945,677",27.7,28.1,55,30,J.Hamilton (5.5),R.Washington (79-83)
