Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
2020,Washington†Nationals,NL East,60,26,34,0,0.433,0.488,5th of 5,9,,293,301,,28.6,30.8,43,24,T.Turner (2.8),D.Martinez†(26-34)
2019,Washington†Nationals,NL East,162,93,69,0,0.574,0.585,2nd of 5,4,Won†WS†(4-3),873,724,"2,259,781",28.7,30.8,50,31,A.Rendon (7.2),D.Martinez†(93-69)
2018,Washington†Nationals,NL East,162,82,80,0,0.506,0.556,2nd of 5,8,,771,682,"2,529,604",27.5,30.2,53,31,M.Scherzer (9.2),D.Martinez†(82-80)
2017,Washington†Nationals,NL East,162,97,65,0,0.599,0.59,1st of 5,--,Lost†NLDS†(3-2),819,672,"2,524,980",29.2,30.1,49,24,M.Scherzer (7.5),D.Baker†(97-65)
2016,Washington†Nationals,NL East,162,95,67,0,0.586,0.6,1st of 5,--,Lost†NLDS†(3-2),763,612,"2,481,938",28.8,29.1,43,24,M.Scherzer (6.4),D.Baker†(95-67)
2015,Washington†Nationals,NL East,162,83,79,0,0.512,0.546,2nd of 5,7,,703,635,"2,619,843",28.4,28.6,44,26,B.Harper (9.7),M.Williams†(83-79)
2014,Washington†Nationals,NL East,162,96,66,0,0.593,0.596,1st of 5,--,Lost†NLDS†(3-1),686,555,"2,579,389",28.8,28.3,40,18,A.Rendon (6.5),M.Williams†(96-66)
2013,Washington†Nationals,NL East,162,86,76,0,0.531,0.521,2nd of 5,10,,656,626,"2,652,422",27.7,27.7,44,21,J.Werth (4.6),D.Johnson†(86-76)
2012,Washington†Nationals,NL East,162,98,64,0,0.605,0.594,1st of 5,--,Lost†NLDS†(3-2),731,594,"2,370,794",27.2,27,43,19,J.Zimmermann (5.5),D.Johnson†(98-64)
2011,Washington†Nationals,NL East,161,80,81,0,0.497,0.486,3rd of 5,21.5,,624,643,"1,940,478",28.4,27.6,44,24,M.Morse (3.4),"J.Riggleman†(38-37), J.McLaren†(2-1) and D.Johnson†(40-43)"
2010,Washington†Nationals,NL East,162,69,93,0,0.426,0.443,5th of 5,28,,655,742,"1,828,066",29.1,28,46,26,R.Zimmerman (6.2),J.Riggleman†(69-93)
2009,Washington†Nationals,NL East,162,59,103,0,0.364,0.406,5th of 5,34,,710,874,"1,817,226",28.3,27.4,55,30,R.Zimmerman (7.3),M.Acta†(26-61) and J.Riggleman†(33-42)
2008,Washington†Nationals,NL East,161,59,102,0,0.366,0.387,5th of 5,32.5,,641,825,"2,320,400",27.7,27.3,50,25,C.Guzman (4.6),M.Acta†(59-102)
2007,Washington†Nationals,NL East,162,73,89,0,0.451,0.431,4th of 5,16,,673,783,"1,943,812",27.9,27.5,47,26,R.Zimmerman (4.7),M.Acta†(73-89)
2006,Washington†Nationals,NL East,162,71,91,0,0.438,0.429,5th of 5,26,,746,872,"2,153,056",28.5,28.9,57,29,A.Soriano (6.1),F.Robinson†(71-91)
2005,Washington†Nationals,NL East,162,81,81,0,0.5,0.476,5th of 5,9,,639,673,"2,731,993",29.3,28.9,55,25,J.Patterson (4.5),F.Robinson†(81-81)
2004,Montreal†Expos,NL East,162,67,95,0,0.414,0.413,5th of 5,29,,635,769,"749,550",27.5,26.5,46,22,L.Hern√°ndez (5.7),F.Robinson†(67-95)
2003,Montreal†Expos,NL East,162,83,79,0,0.512,0.497,4th of 5,18,,711,716,"1,025,639",27.7,26.7,43,25,L.Hern√°ndez (6.4),F.Robinson†(83-79)
2002,Montreal†Expos,NL East,162,83,79,0,0.512,0.511,2nd of 5,19,,735,718,"812,045",28.2,27.7,43,20,V.Guerrero (7.1),F.Robinson†(83-79)
2001,Montreal†Expos,NL East,162,68,94,0,0.42,0.413,5th of 5,20,,670,812,"642,745",27.6,27.4,47,23,J.Vazquez (6.3),F.Alou†(21-32) and J.Torborg†(47-62)
2000,Montreal†Expos,NL East,162,67,95,0,0.414,0.409,4th of 5,28,,738,902,"926,272",26.2,26.1,49,27,V.Guerrero (6.0),F.Alou†(67-95)
1999,Montreal†Expos,NL East,162,68,94,0,0.42,0.422,4th of 5,35,,718,853,"773,277",25.9,25.5,44,21,V.Guerrero (4.4),F.Alou†(68-94)
1998,Montreal†Expos,NL East,162,65,97,0,0.401,0.412,4th of 5,41,,644,783,"914,909",25.9,25.7,41,19,V.Guerrero (7.4),F.Alou†(65-97)
1997,Montreal†Expos,NL East,162,78,84,0,0.481,0.469,4th of 5,23,,691,740,"1,497,609",27.7,26.4,41,21,P.Martinez (8.8),F.Alou†(78-84)
1996,Montreal†Expos,NL East,162,88,74,0,0.543,0.547,2nd of 5,8,,741,668,"1,616,709",27.4,27.5,39,18,J.Fassero (5.3),F.Alou†(88-74)
1995,Montreal†Expos,NL East,144,66,78,0,0.458,0.488,5th of 5,24,,621,638,"1,309,618",26.2,27.6,45,21,P.Martinez (4.2),F.Alou†(66-78)
